name,Size,Ties,Pairs,Density,WeakComp,nWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree
org.apache.tools.ant.taskdefs.War,5,8,20,0.4,1,0.2,193,38.6,12,0.6,0.0,0.0,0.0,0.0,0,4,4
org.apache.tools.ant.taskdefs.Copydir,3,3,6,0.5,1,0.3333333333333333,170,56.666666666666664,3,0.5,0.0,0.0,0.0,0.0,0,2,2
org.apache.tools.ant.taskdefs.LoadProperties,5,5,20,0.25,1,0.2,170,34.0,15,0.75,0.0,0.0,0.0,0.0,0,4,4
org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask,13,24,156,0.15384615384615385,1,0.07692307692307693,176,13.538461538461538,132,0.8461538461538461,0.0,0.0,0.0,0.0,0,12,12
org.apache.tools.tar.TarOutputStream,4,5,12,0.4166666666666667,1,0.25,3,0.75,7,0.5833333333333334,0.0,0.0,0.001142857142857143,1.3076168682576005e-06,1,3,4
org.apache.tools.ant.types.Parameterizable,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.14481861084892564,0.0,3,1,4
org.apache.tools.ant.taskdefs.SignJar,8,13,56,0.23214285714285715,1,0.125,172,21.5,43,0.7678571428571429,0.0,0.0,0.0,0.0,0,7,7
org.apache.tools.ant.taskdefs.condition.And,3,3,6,0.5,1,0.3333333333333333,187,62.333333333333336,3,0.5,0.5,0.16666666666666666,0.0031746031746031746,8.717445788384004e-08,1,2,3
org.apache.tools.ant.BuildLogger,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.0074285714285714285,0.0,4,0,4
org.apache.tools.ant.taskdefs.ExecuteOn,13,26,156,0.16666666666666666,1,0.07692307692307693,174,13.384615384615385,130,0.8333333333333334,0.0,0.0,0.002285714285714286,0.0002422360248447205,2,12,14
org.apache.tools.ant.taskdefs.Echo,4,4,12,0.3333333333333333,1,0.25,170,42.5,8,0.6666666666666666,0.0,0.0,0.001142857142857143,2.615233736515201e-06,1,3,4
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.1099454782206914,0.0,18,0,18
org.apache.tools.ant.taskdefs.Parallel,6,8,30,0.26666666666666666,1,0.16666666666666666,170,28.333333333333332,22,0.7333333333333333,0.0,0.0,0.0,0.0,0,5,5
org.apache.tools.ant.TaskContainer,2,1,2,0.5,1,0.5,168,84.0,1,0.5,0.0,0.0,0.17490074692147234,2.1139806036831207e-06,8,1,9
org.apache.tools.ant.filters.StripLineBreaks,4,4,12,0.3333333333333333,1,0.25,168,42.0,8,0.6666666666666666,0.0,0.0,0.11147231633572073,8.216404440083945e-05,1,3,4
org.apache.tools.ant.types.Environment,2,1,2,0.5,1,0.5,170,85.0,1,0.5,0.0,0.0,0.032976623376623375,0.0,9,1,10
org.apache.tools.ant.taskdefs.DependSet,7,14,42,0.3333333333333333,1,0.14285714285714285,170,24.285714285714285,28,0.6666666666666666,0.0,0.0,0.0,0.0,0,6,6
org.apache.tools.ant.types.selectors.ExtendSelector,9,14,72,0.19444444444444445,1,0.1111111111111111,168,18.666666666666668,58,0.8055555555555556,0.0,0.0,0.137625754527163,0.0023987008249334012,4,8,12
org.apache.tools.ant.taskdefs.Available,11,17,110,0.15454545454545454,1,0.09090909090909091,170,15.454545454545455,93,0.8454545454545455,0.0,0.0,0.00374025974025974,0.0007075079001852456,1,10,11
org.apache.tools.ant.types.selectors.FileSelector,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.1461213643722436,0.0,9,0,9
org.apache.tools.ant.types.Path,14,41,182,0.22527472527472528,1,0.07142857142857142,168,12.0,141,0.7747252747252747,0.28846153846153844,0.020604395604395604,0.2062857142857143,0.04557292197564212,78,14,92
org.apache.tools.ant.filters.StripLineComments,5,5,20,0.25,1,0.2,168,33.6,15,0.75,0.0,0.0,0.11147231633572073,0.0008275056593076605,1,4,5
org.apache.tools.ant.taskdefs.Sequential,5,7,20,0.35,1,0.2,169,33.8,13,0.65,0.0,0.0,0.001142857142857143,0.00022229486760379208,1,4,5
org.apache.tools.ant.util.TaskLogger,2,1,2,0.5,1,0.5,169,84.5,1,0.5,0.0,0.0,0.0,0.0,0,1,1
org.apache.tools.ant.taskdefs.compilers.Gcj,5,12,20,0.6,1,0.2,186,37.2,8,0.4,0.0,0.0,0.0052478134110787176,2.1345996272442826e-05,1,4,5
org.apache.tools.ant.types.selectors.FilenameSelector,4,5,12,0.4166666666666667,1,0.25,168,42.0,7,0.5833333333333334,0.0,0.0,0.13808638367954099,0.00021241556538892587,5,3,8
org.apache.tools.ant.taskdefs.condition.Http,3,2,6,0.3333333333333333,1,0.3333333333333333,169,56.333333333333336,4,0.6666666666666666,0.0,0.0,0.00374025974025974,8.717445788384004e-08,1,2,3
org.apache.tools.ant.taskdefs.GUnzip,2,1,2,0.5,1,0.5,170,85.0,1,0.5,0.0,0.0,0.0,0.0,0,1,1
org.apache.tools.ant.taskdefs.FixCRLF,10,19,90,0.2111111111111111,1,0.1,174,17.4,71,0.7888888888888889,0.19444444444444442,0.01944444444444444,0.002285714285714286,0.0004524354364171297,2,9,11
org.apache.tools.ant.types.selectors.SelectorScanner,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.14071687526974536,0.0,2,1,3
org.apache.tools.ant.PathTokenizer,2,1,2,0.5,1,0.5,1,0.5,1,0.5,0.0,0.0,0.2115947107974365,0.00029048485204091496,3,1,4
org.apache.tools.ant.taskdefs.Definer,6,10,30,0.3333333333333333,1,0.16666666666666666,169,28.166666666666668,20,0.6666666666666666,0.0,0.0,0.002285714285714286,0.00044458973520758417,2,5,7
org.apache.tools.ant.input.InputHandler,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.20012434285714284,0.0003724528713087066,8,1,9
org.apache.tools.ant.taskdefs.BUnzip2,3,2,6,0.3333333333333333,1,0.3333333333333333,173,57.666666666666664,4,0.6666666666666666,0.0,0.0,0.0,0.0,0,2,2
org.apache.tools.ant.ProjectHelper,5,11,20,0.55,1,0.2,168,33.6,9,0.45,0.4583333333333333,0.09166666666666666,0.218291761148904,0.007225316019202915,13,5,18
org.apache.tools.ant.input.DefaultInputHandler,4,5,12,0.4166666666666667,1,0.25,2,0.5,7,0.5833333333333334,0.0,0.0,0.19809584567479305,0.0011158330609131524,3,3,6
org.apache.tools.ant.types.CommandlineJava,9,21,72,0.2916666666666667,1,0.1111111111111111,172,19.11111111111111,51,0.7083333333333334,0.0,0.0,0.026593406593406595,0.000508605222825556,13,8,21
org.apache.tools.ant.filters.TailFilter,4,4,12,0.3333333333333333,1,0.25,168,42.0,8,0.6666666666666666,0.0,0.0,0.11147231633572073,8.216404440083945e-05,1,3,4
org.apache.tools.ant.taskdefs.XSLTLoggerAware,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.0025714285714285713,0.0,2,1,3
org.apache.tools.ant.listener.MailLogger,5,6,20,0.3,1,0.2,176,35.2,14,0.7,0.0,0.0,0.0,0.0,0,4,4
org.apache.tools.ant.taskdefs.Concat,11,24,110,0.21818181818181817,1,0.09090909090909091,169,15.363636363636363,86,0.7818181818181819,0.0,0.0,0.0,0.0,0,10,10
org.apache.tools.ant.BuildEvent,5,14,20,0.7,1,0.2,168,33.6,6,0.3,0.0,0.0,0.20548659973120403,0.002704958061806705,23,4,27
org.apache.tools.ant.taskdefs.Jar,10,18,90,0.2,1,0.1,192,19.2,72,0.8,0.0,0.0,0.002285714285714286,4.942791762013729e-05,2,9,11
org.apache.tools.ant.taskdefs.Delete,9,28,72,0.3888888888888889,1,0.1111111111111111,170,18.88888888888889,44,0.6111111111111112,0.0,0.0,0.0,0.0,0,8,8
