name,Size,Ties,Pairs,Density,WeakComp,nWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree
org.apache.camel.AlreadyStoppedException,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.10136355225461482,1.5673944340256252e-06,2,1,3
org.apache.camel.AsyncCallback,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.0012515644555694619,0.0,2,0,2
org.apache.camel.AsyncProcessor,2,2,2,1.0,1,0.5,277,138.5,0,0.0,0.0,0.0,0.14522755327721296,0.0001995978849579507,21,1,22
org.apache.camel.bam.ActivityBuilder,11,27,110,0.24545454545454545,1,0.09090909090909091,297,27.0,83,0.7545454545454545,0.19444444444444445,0.017676767676767676,0.002852402712693192,2.6860405490001186e-05,3,11,14
org.apache.camel.bam.ActivityLifecycle,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.002514303593777937,0.0,2,0,2
org.apache.camel.bam.model.ActivityDefinition,3,4,6,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,2,0.3333333333333333,0.0,0.0,0.0052148518982060915,4.460543326831258e-06,4,2,6
org.apache.camel.bam.model.ActivityState,6,13,30,0.43333333333333335,1,0.16666666666666666,297,49.5,17,0.5666666666666667,0.30000000000000004,0.05000000000000001,0.006132665832290362,8.023298162506299e-05,9,5,14
org.apache.camel.bam.model.EntitySupport,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.004827462900053638,0.0,3,0,3
org.apache.camel.bam.model.ProcessDefinition,2,2,2,1.0,1,0.5,0,0.0,0,0.0,0.0,0.0,0.005340008343763037,2.1747597772105555e-06,6,2,8
org.apache.camel.bam.model.ProcessInstance,4,8,12,0.6666666666666666,1,0.25,297,74.25,4,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.005332752897643794,8.013051227879092e-06,8,3,11
org.apache.camel.bam.model.TemporalEntity,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.004022885750044699,7.118583054533047e-07,1,1,2
org.apache.camel.bam.ProcessBuilder,10,23,90,0.25555555555555554,1,0.1,297,29.7,67,0.7444444444444445,0.06944444444444445,0.006944444444444445,0.0036074504895825662,5.1598298227616494e-05,3,10,13
org.apache.camel.bam.processor.ActivityMonitorEngine,4,5,12,0.4166666666666667,1,0.25,298,74.5,7,0.5833333333333334,0.0,0.0,0.0,0.0,0,3,3
org.apache.camel.bam.processor.BamProcessorSupport,5,6,20,0.3,1,0.2,279,55.8,14,0.7,0.25,0.05,0.0021945239768889195,6.729183499829807e-05,2,4,6
org.apache.camel.bam.processor.JpaBamProcessor,7,21,42,0.5,1,0.14285714285714285,297,42.42857142857143,21,0.5,0.0,0.0,0.002666376448821897,2.8988380700719936e-05,1,6,7
org.apache.camel.bam.processor.JpaBamProcessorSupport,7,10,42,0.23809523809523808,1,0.14285714285714285,297,42.42857142857143,32,0.7619047619047619,0.0,0.0,0.0021518125727334604,2.081859002943828e-05,1,6,7
org.apache.camel.bam.processor.NoCorrelationKeyException,3,3,6,0.5,1,0.3333333333333333,279,93.0,3,0.5,0.5,0.16666666666666666,0.0018204573899192173,5.551188620507423e-06,1,2,3
org.apache.camel.bam.processor.ProcessContext,6,19,30,0.6333333333333333,1,0.16666666666666666,297,49.5,11,0.36666666666666664,0.05,0.008333333333333333,0.003956558601477653,4.950354087464265e-06,2,5,7
org.apache.camel.bam.rules.ActivityRules,10,32,90,0.35555555555555557,1,0.1,297,29.7,58,0.6444444444444445,0.25,0.025,0.005332752897643794,0.0007755684499636121,8,9,17
org.apache.camel.bam.rules.ProcessRules,8,21,56,0.375,1,0.125,297,37.125,35,0.625,0.011904761904761904,0.001488095238095238,0.003956558601477653,7.235261371125472e-05,4,7,11
org.apache.camel.bam.rules.TemporalRule,14,33,182,0.1813186813186813,1,0.07142857142857142,297,21.214285714285715,149,0.8186813186813187,0.0641025641025641,0.004578754578754578,0.0036074504895825662,0.0009550067505015496,3,14,17
org.apache.camel.bam.TimeExpression,7,22,42,0.5238095238095238,1,0.14285714285714285,297,42.42857142857143,20,0.47619047619047616,0.3277777777777778,0.046825396825396826,0.002852402712693192,5.5724231049445795e-05,3,7,10
org.apache.camel.Body,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.10438333678945313,0.0,8,0,8
org.apache.camel.builder.BinaryPredicateSupport,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.0,0.0,0,1,1
org.apache.camel.builder.Builder,3,4,6,0.6666666666666666,1,0.3333333333333333,2,0.6666666666666666,2,0.3333333333333333,0.0,0.0,0.09215767281917932,7.324687739301367e-06,4,2,6
org.apache.camel.builder.BuilderSupport,12,24,132,0.18181818181818182,1,0.08333333333333333,285,23.75,108,0.8181818181818182,0.0,0.0,0.11406857123294704,0.0035674308081535757,2,12,14
org.apache.camel.builder.ConstantProcessorBuilder,3,3,6,0.5,1,0.3333333333333333,279,93.0,3,0.5,0.0,0.0,0.06505060351827409,0.0,1,2,3
org.apache.camel.builder.DataFormatClause,11,18,110,0.16363636363636364,1,0.09090909090909091,277,25.181818181818183,92,0.8363636363636363,0.0,0.0,0.16722383980154437,0.0023754385112469707,1,10,11
org.apache.camel.builder.DeadLetterChannelBuilder,14,26,182,0.14285714285714285,1,0.07142857142857142,280,20.0,156,0.8571428571428571,0.0,0.0,0.0827811654102512,0.001973597383291731,2,14,16
org.apache.camel.builder.ErrorHandlerBuilder,4,9,12,0.75,1,0.25,277,69.25,3,0.25,0.0,0.0,0.20321102205463215,0.00022182070134565984,17,4,21
org.apache.camel.builder.ErrorHandlerBuilderRef,6,16,30,0.5333333333333333,1,0.16666666666666666,277,46.166666666666664,14,0.4666666666666667,0.0,0.0,0.1671938713714724,0.0007355291295235484,1,5,6
org.apache.camel.builder.ErrorHandlerBuilderSupport,4,8,12,0.6666666666666666,1,0.25,277,69.25,4,0.3333333333333333,0.0,0.0,0.14534067646873597,0.0011773931118164633,6,3,9
org.apache.camel.builder.ExpressionBuilder,3,2,6,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,4,0.6666666666666666,0.0,0.0,0.0,0.0,0,2,2
org.apache.camel.builder.ExpressionClause,9,21,72,0.2916666666666667,1,0.1111111111111111,277,30.77777777777778,51,0.7083333333333334,0.0,0.0,0.1804180627060174,0.00586068595361662,5,9,14
org.apache.camel.builder.LoggingErrorHandlerBuilder,8,15,56,0.26785714285714285,1,0.125,279,34.875,41,0.7321428571428571,0.0,0.0,0.0827811654102512,0.0004432648347645479,1,7,8
org.apache.camel.builder.NoErrorHandlerBuilder,5,9,20,0.45,1,0.2,277,55.4,11,0.55,0.0,0.0,0.17865603260299046,0.0008055842879263109,2,4,6
org.apache.camel.builder.NoRouteBuilder,1,1,0,0,1,1.0,-1,-1.0,-1,0,0.0,0.0,0.0018773466833541927,0.0,4,1,5
org.apache.camel.builder.PredicateBuilder,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.0,0.0,0,1,1
org.apache.camel.builder.PredicateFactory,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.0,0.0,0,1,1
org.apache.camel.builder.PredicateSupport,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.0,0.0,0,1,1
org.apache.camel.builder.ProcessorBuilder,3,2,6,0.3333333333333333,1,0.3333333333333333,278,92.66666666666667,4,0.6666666666666666,0.0,0.0,0.0,0.0,0,2,2
org.apache.camel.builder.ProcessorFactory,2,1,2,0.5,1,0.5,278,139.0,1,0.5,0.0,0.0,0.06738017206635584,0.0,3,1,4
org.apache.camel.builder.RouteBuilder,16,56,240,0.23333333333333334,1,0.0625,289,18.0625,184,0.7666666666666667,0.0,0.0,0.1840835921042111,0.0322995362110124,276,16,292
org.apache.camel.builder.script.ScriptBuilder,6,7,30,0.23333333333333334,1,0.16666666666666666,279,46.5,23,0.7666666666666667,0.0,0.0,0.0008343763037129745,0.00011043599949738883,2,6,8
org.apache.camel.builder.script.ScriptEvaluationException,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.0009386733416770963,9.796215212660157e-07,1,1,2
org.apache.camel.builder.script.ScriptLanguage,5,9,20,0.45,1,0.2,280,56.0,11,0.55,0.0,0.0,0.0006257822277847309,2.6776321581271095e-06,1,4,5
org.apache.camel.builder.script.ScriptLanguageResolver,5,8,20,0.4,1,0.2,281,56.2,12,0.6,0.0,0.0,0.0,0.0,0,4,4
org.apache.camel.builder.sql.SqlBuilder,3,3,6,0.5,1,0.3333333333333333,2,0.6666666666666666,3,0.5,0.0,0.0,0.0006257822277847309,5.877729127596095e-07,2,3,5
org.apache.camel.builder.ValueBuilder,3,3,6,0.5,1,0.3333333333333333,1,0.3333333333333333,3,0.5,0.0,0.0,0.09618782968442974,4.568685859472976e-06,8,3,11
org.apache.camel.builder.xml.DefaultNamespaceContext,2,2,2,1.0,1,0.5,0,0.0,0,0.0,0.0,0.0,0.0014303593777936707,1.9592430425320315e-07,3,2,5
org.apache.camel.builder.xml.DomResultHandler,3,4,6,0.6666666666666666,1,0.3333333333333333,279,93.0,2,0.3333333333333333,0.0,0.0,0.0009386733416770963,5.466288088664369e-05,1,2,3
org.apache.camel.builder.xml.DomResultHandlerFactory,4,5,12,0.4166666666666667,1,0.25,281,70.25,7,0.5833333333333334,0.0,0.0,0.0008343763037129745,7.836972170128126e-07,1,3,4
org.apache.camel.builder.xml.InvalidXPathExpression,2,1,2,0.5,1,0.5,1,0.5,1,0.5,0.0,0.0,0.0009386733416770963,0.0,1,1,2
org.apache.camel.builder.xml.MessageVariableResolver,3,4,6,0.6666666666666666,1,0.3333333333333333,278,92.66666666666667,2,0.3333333333333333,0.0,0.0,0.0009386733416770963,7.44512356162172e-06,1,2,3
org.apache.camel.builder.xml.Namespaces,5,5,20,0.25,1,0.2,277,55.4,15,0.75,0.0,0.0,0.14652769000358348,0.0013960312184755294,5,5,10
org.apache.camel.builder.xml.ResultHandler,2,2,2,1.0,1,0.5,278,139.0,0,0.0,0.0,0.0,0.00506883604505632,0.0002736409449403071,8,1,9
org.apache.camel.builder.xml.ResultHandlerFactory,2,1,2,0.5,1,0.5,279,139.5,1,0.5,0.0,0.0,0.0026074259491030457,0.0,4,1,5
org.apache.camel.builder.xml.StreamResultHandler,3,4,6,0.6666666666666666,1,0.3333333333333333,279,93.0,2,0.3333333333333333,0.0,0.0,0.0009386733416770963,5.466288088664369e-05,1,2,3
org.apache.camel.builder.xml.StreamResultHandlerFactory,4,5,12,0.4166666666666667,1,0.25,281,70.25,7,0.5833333333333334,0.0,0.0,0.0008343763037129745,7.836972170128126e-07,1,3,4
org.apache.camel.builder.xml.StringResultHandler,3,4,6,0.6666666666666666,1,0.3333333333333333,279,93.0,2,0.3333333333333333,0.0,0.0,0.0009386733416770963,5.466288088664369e-05,1,2,3
org.apache.camel.builder.xml.StringResultHandlerFactory,4,5,12,0.4166666666666667,1,0.25,281,70.25,7,0.5833333333333334,0.0,0.0,0.0008343763037129745,7.836972170128126e-07,1,3,4
org.apache.camel.builder.xml.XPathBuilder,9,16,72,0.2222222222222222,1,0.1111111111111111,281,31.22222222222222,56,0.7777777777777778,0.0,0.0,0.0008343763037129745,0.00014568791318336576,2,9,11
org.apache.camel.builder.xml.XPathLanguage,5,8,20,0.4,1,0.2,282,56.4,12,0.6,0.0,0.0,0.0006257822277847309,3.7145848627091224e-05,1,4,5
org.apache.camel.builder.xml.XsltBuilder,10,19,90,0.2111111111111111,1,0.1,292,29.2,71,0.7888888888888889,0.0,0.0,0.0006257822277847309,5.159340012001016e-06,2,10,12
org.apache.camel.CamelContext,12,17,132,0.12878787878787878,1,0.08333333333333333,277,23.083333333333332,115,0.8712121212121212,0.43636363636363634,0.03636363636363636,0.3642880914692761,0.06411116627176508,172,11,183
org.apache.camel.CamelContextAware,2,1,2,0.5,1,0.5,277,138.5,1,0.5,0.0,0.0,0.1671938713714724,9.796215212660158e-08,9,1,10
org.apache.camel.CamelException,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.17284880436829222,0.0,8,0,8
org.apache.camel.CamelExchangeException,3,3,6,0.5,1,0.3333333333333333,277,92.33333333333333,3,0.5,0.0,0.0,0.11618204262177038,8.412598493695484e-05,9,2,11
org.apache.camel.CamelTemplate,3,3,6,0.5,1,0.3333333333333333,279,93.0,3,0.5,0.0,0.0,0.0,0.0,0,2,2
org.apache.camel.Component,3,5,6,0.8333333333333334,1,0.3333333333333333,277,92.33333333333333,1,0.16666666666666666,0.0,0.0,0.25722134057149604,0.0005806835895920142,21,2,23
org.apache.camel.component.atom.AtomComponent,4,5,12,0.4166666666666667,1,0.25,293,73.25,7,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.002816020025031289,4.287476858074262e-05,1,3,4
org.apache.camel.component.atom.AtomConsumerSupport,3,4,6,0.6666666666666666,1,0.3333333333333333,293,97.66666666666667,2,0.3333333333333333,0.0,0.0,0.0029816682617978354,1.9592430425320315e-07,2,2,4
org.apache.camel.component.atom.AtomConverter,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.0,0.0,0,1,1
org.apache.camel.component.atom.AtomEndpoint,11,22,110,0.2,1,0.09090909090909091,293,26.636363636363637,88,0.8,0.35000000000000003,0.03181818181818182,0.00506883604505632,0.0007087561706359624,8,10,18
org.apache.camel.component.atom.AtomEntryPollingConsumer,6,12,30,0.4,1,0.16666666666666666,293,48.833333333333336,18,0.6,0.325,0.05416666666666667,0.002816020025031289,6.465502040355704e-06,1,5,6
org.apache.camel.component.atom.AtomPollingConsumer,4,6,12,0.5,1,0.25,293,73.25,6,0.5,0.3333333333333333,0.08333333333333333,0.0029816682617978354,1.5673944340256252e-06,2,3,5
org.apache.camel.component.atom.AtomProducer,3,4,6,0.6666666666666666,1,0.3333333333333333,294,98.0,2,0.3333333333333333,0.0,0.0,0.0,0.0,0,2,2
org.apache.camel.component.atom.AtomUtils,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.002720792294716221,0.0,3,0,3
org.apache.camel.component.atom.EntryFilter,2,1,2,0.5,1,0.5,293,146.5,1,0.5,0.0,0.0,0.00253441802252816,5.720989684193532e-05,3,1,4
org.apache.camel.component.atom.UpdatedDateFilter,3,3,6,0.5,1,0.3333333333333333,293,97.66666666666667,3,0.5,0.0,0.0,0.0023040163841165093,5.720989684193532e-05,2,2,4
org.apache.camel.component.bean.AmbiguousMethodCallException,3,4,6,0.6666666666666666,1,0.3333333333333333,277,92.33333333333333,2,0.3333333333333333,0.0,0.0,0.10312167594261258,0.00010314625180342661,1,2,3
org.apache.camel.component.bean.AnnotationExpressionFactory,3,2,6,0.3333333333333333,1,0.3333333333333333,277,92.33333333333333,4,0.6666666666666666,0.0,0.0,0.10329293647617538,0.0,2,2,4
