name,Size,Ties,Pairs,Density,WeakComp,nWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree
fr.jayasoft.ivy.repository.vfs.IvyWebdavFileSystem,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.0034965034965034965,0.0,1,0,1
fr.jayasoft.ivy.util.EncrytedProperties,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.005244755244755245,3.68052999631947e-05,1,1,2
fr.jayasoft.ivy.xml.XmlModuleDescriptorUpdater,3,3,6,0.5,1,0.3333333333333333,195,65.0,3,0.5,0.0,0.0,0.0,0.0,0,2,2
fr.jayasoft.ivy.resolver.IvyRepResolver,14,31,182,0.17032967032967034,1,0.07142857142857142,196,14.0,151,0.8296703296703297,0.0,0.0,0.0,0.0,0,13,13
fr.jayasoft.ivy.event.resolve.StartResolveDependencyEvent,5,12,20,0.6,1,0.2,194,38.8,8,0.4,0.0,0.0,0.17173335923335925,0.0031348106527532356,1,4,5
fr.jayasoft.ivy.matcher.ExactPatternMatcher,5,7,20,0.35,1,0.2,3,0.6,13,0.65,0.0,0.0,0.20753136500108238,0.0032478632478632483,4,4,8
fr.jayasoft.ivy.url.HttpClientHandler,12,17,132,0.12878787878787878,1,0.08333333333333333,194,16.166666666666668,115,0.8712121212121212,0.0,0.0,0.17094196126454192,0.032590051274261816,2,11,13
fr.jayasoft.ivy.matcher.ExactOrRegexpPatternMatcher,5,8,20,0.4,1,0.2,7,1.4,12,0.6,0.0,0.0,0.20218849975934997,0.0031704358020147494,1,4,5
fr.jayasoft.ivy.event.download.NeedArtifactEvent,5,10,20,0.5,1,0.2,194,38.8,10,0.5,0.0,0.0,0.08651756406858448,0.0009407942757225045,1,4,5
fr.jayasoft.ivy.repository.ssh.SshResource,3,5,6,0.8333333333333334,1,0.3333333333333333,200,66.66666666666667,1,0.16666666666666666,0.0,0.0,0.004662004662004662,0.0,1,2,3
fr.jayasoft.ivy.status.StatusManager,3,3,6,0.5,1,0.3333333333333333,194,64.66666666666667,3,0.5,0.0,0.0,0.20636665142923835,0.002758748428604886,8,3,11
fr.jayasoft.ivy.tools.analyser.DependencyAnalyser,2,1,2,0.5,1,0.5,196,98.0,1,0.5,0.0,0.0,0.006993006993006993,4.0894777736883e-06,2,1,3
fr.jayasoft.ivy.resolver.ChainResolver,16,43,240,0.17916666666666667,1,0.0625,194,12.125,197,0.8208333333333333,0.0,0.0,0.20105368885856692,0.003907993919955644,1,15,16
fr.jayasoft.ivy.circular.AbstractCircularDependencyStrategy,2,1,2,0.5,1,0.5,194,97.0,1,0.5,0.0,0.0,0.15954583051357246,0.0,3,1,4
fr.jayasoft.ivy.version.SubVersionMatcher,3,4,6,0.6666666666666666,1,0.3333333333333333,194,64.66666666666667,2,0.3333333333333333,0.0,0.0,0.20105368885856692,0.0006134216660532451,1,2,3
fr.jayasoft.ivy.report.ConfigurationResolveReport,11,40,110,0.36363636363636365,1,0.09090909090909091,194,17.636363636363637,70,0.6363636363636364,0.15555555555555556,0.014141414141414142,0.21318623904830802,0.01692681343997134,7,10,17
fr.jayasoft.ivy.repository.AbstractRepository,7,14,42,0.3333333333333333,1,0.14285714285714285,194,27.714285714285715,28,0.6666666666666666,0.0,0.0,0.1202411850710068,0.01606411361829318,8,6,14
fr.jayasoft.ivy.ant.IvyVar,2,1,2,0.5,1,0.5,195,97.5,1,0.5,0.0,0.0,0.0,0.0,0,1,1
fr.jayasoft.ivy.xml.XmlModuleDescriptorParser,7,19,42,0.4523809523809524,1,0.14285714285714285,194,27.714285714285715,23,0.5476190476190477,0.15,0.02142857142857143,0.20242513284805236,0.015972128704186125,4,7,11
fr.jayasoft.ivy.latest.LatestTimeStrategy,2,1,2,0.5,1,0.5,194,97.0,1,0.5,0.0,0.0,0.20132648897913485,0.0024843577475156422,1,1,2
fr.jayasoft.ivy.repository.TransferListener,2,1,2,0.5,1,0.5,194,97.0,1,0.5,0.0,0.0,0.21016660393430933,0.002997704050335629,3,1,4
fr.jayasoft.ivy.tools.analyser.JarJarDependencyAnalyser,6,10,30,0.3333333333333333,1,0.16666666666666666,199,33.166666666666664,20,0.6666666666666666,0.0,0.0,0.0034965034965034965,7.783639362586731e-05,1,5,6
fr.jayasoft.ivy.namespace.NameSpaceHelper,11,24,110,0.21818181818181817,1,0.09090909090909091,194,17.636363636363637,86,0.7818181818181819,0.05555555555555556,0.005050505050505051,0.20752115017849282,0.0025301975953375636,4,10,14
fr.jayasoft.ivy.version.LatestVersionMatcher,4,6,12,0.5,1,0.25,194,48.5,6,0.5,0.0,0.0,0.20105368885856692,0.0006134216660532451,1,3,4
