name,Size,Ties,Pairs,Density,WeakComp,nWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree
org.gjt.sp.jedit.Registers,5,6,20,0.3,1,0.2,326,65.2,14,0.7,0.0,0.0,0.09030489771058006,0.0032869921201297307,3,4,7
gnu.regexp.RETokenRepeated,4,8,12,0.6666666666666666,1,0.25,2,0.5,4,0.3333333333333333,0.0,0.0,0.0904560119420234,0.0,1,3,4
gnu.regexp.REMatchEnumeration,4,8,12,0.6666666666666666,1,0.25,24,6.0,4,0.3333333333333333,0.0,0.0,0.08980358249498102,0.0,1,3,4
bsh.BSHType,8,23,56,0.4107142857142857,1,0.125,74,9.25,33,0.5892857142857143,0.0,0.0,0.0859731241023162,0.00012473105796799986,8,7,15
gnu.regexp.RETokenOneOf,5,12,20,0.6,1,0.2,3,0.6,8,0.4,0.0,0.0,0.0904560119420234,0.0,1,4,5
bsh.BSHArrayDimensions,8,29,56,0.5178571428571429,1,0.125,74,9.25,27,0.48214285714285715,0.0,0.0,0.08490089693097211,6.695821102609518e-06,2,7,9
org.gjt.sp.jedit.options.StyleTableModel,3,3,6,0.5,1,0.3333333333333333,1,0.3333333333333333,3,0.5,0.0,0.0,0.05541612471833953,0.0009113645923723857,2,2,4
gnu.regexp.CharIndexedString,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.0904560119420234,0.0,1,1,2
org.gjt.sp.jedit.gui.DockableWindowContainer,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.111263822228213,1.3686893157374633e-06,5,1,6
org.gjt.sp.jedit.textarea.TextRendererAWT,2,3,2,1.5,1,0.5,0,0.0,-1,-0.5,0.0,0.0,0.09807408528510349,0.0,1,1,2
org.gjt.sp.jedit.EditPlugin,4,7,12,0.5833333333333334,1,0.25,326,81.5,5,0.4166666666666667,0.5,0.125,0.0812025472782139,0.08400467544270256,11,3,14
bsh.BSHLHSPrimarySuffix,12,51,132,0.38636363636363635,1,0.08333333333333333,74,6.166666666666667,81,0.6136363636363636,0.0,0.0,0.0849972657129596,2.931859647439738e-05,2,11,13
org.gjt.sp.jedit.browser.VFSBrowser,21,48,420,0.11428571428571428,1,0.047619047619047616,347,16.523809523809526,372,0.8857142857142857,0.225,0.010714285714285714,0.026256251488449633,0.00979396524261476,10,20,30
org.gjt.sp.jedit.options.DockingOptionPane,4,3,12,0.25,1,0.25,326,81.5,9,0.75,0.0,0.0,0.05998698953080334,0.0035370842459558085,1,3,4
