name,Size,Ties,Pairs,Density,WeakComp,nWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree
org.gjt.sp.jedit.gui.MacrosMenu,8,13,56,0.23214285714285715,1,0.125,378,47.25,43,0.7678571428571429,0.0,0.0,0.0017761989342806395,0.00013832730977403587,1,7,8
org.gjt.sp.jedit.options.ModeOptionPane,6,9,30,0.3,1,0.16666666666666666,373,62.166666666666664,21,0.7,0.125,0.020833333333333332,0.10292700981146695,0.004309998307469695,2,5,7
org.gjt.sp.jedit.gui.OptionsDialog,23,30,506,0.05928853754940711,1,0.043478260869565216,373,16.217391304347824,476,0.9407114624505929,0.045454545454545456,0.001976284584980237,0.12305708856388423,0.12085374999595844,3,22,25
org.gjt.sp.jedit.buffer.ExplicitFoldHandler,3,7,6,1.1666666666666667,1,0.3333333333333333,373,124.33333333333333,-1,-0.16666666666666666,0.0,0.0,0.11034033306511122,0.0,1,2,3
bsh.reflect.ReflectManagerImpl,2,2,2,1.0,1,0.5,374,187.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1
org.gjt.sp.jedit.gui.CurrentDirectoryMenu,5,6,20,0.3,1,0.2,377,75.4,14,0.7,0.0,0.0,0.0,0.0,0,4,4
org.gjt.sp.jedit.gui.JCheckBoxList,3,4,6,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,2,0.3333333333333333,0.0,0.0,0.012389171819608942,0.000252839705947422,2,2,4
bsh.Node,1,1,0,0,1,1.0,-1,-1.0,-1,0,0.0,0.0,0.10677500622955442,0.0,4,1,5
org.gjt.sp.jedit.options.ColorOptionPane,4,5,12,0.4166666666666667,1,0.25,373,93.25,7,0.5833333333333334,0.16666666666666666,0.041666666666666664,0.10287692367530564,0.004919287221361042,2,3,5
org.gjt.sp.jedit.search.BoyerMooreSearchMatcher,5,7,20,0.35,1,0.2,373,74.6,13,0.65,0.0,0.0,0.11281327542836345,0.0012945765340771644,1,4,5
org.gjt.sp.jedit.options.StyleEditor,3,2,6,0.3333333333333333,1,0.3333333333333333,4,1.3333333333333333,4,0.6666666666666666,0.0,0.0,0.07860977139236267,0.00012009886032502544,1,2,3
org.gjt.sp.jedit.proto.jeditresource.PluginResURLConnection,3,4,6,0.6666666666666666,1,0.3333333333333333,374,124.66666666666667,2,0.3333333333333333,0.0,0.0,0.0017761989342806395,0.0011851861216285408,1,2,3
org.gjt.sp.jedit.Buffer,37,115,1332,0.08633633633633633,1,0.02702702702702703,373,10.08108108108108,1217,0.9136636636636637,0.5361111111111111,0.014489489489489488,0.16175369407249662,0.13060715937871234,34,37,71
org.gjt.sp.jedit.JARClassLoader,6,10,30,0.3333333333333333,1,0.16666666666666666,373,62.166666666666664,20,0.6666666666666666,0.25,0.041666666666666664,0.15036420921248442,0.008021482196662374,5,5,10
org.gjt.sp.jedit.gui.DefaultInputHandler,6,13,30,0.43333333333333335,1,0.16666666666666666,373,62.166666666666664,17,0.5666666666666667,0.1,0.016666666666666666,0.13482913147497008,0.0002630312804582573,2,5,7
org.gjt.sp.jedit.options.EditingOptionPane,3,3,6,0.5,1,0.3333333333333333,373,124.33333333333333,3,0.5,0.0,0.0,0.10267706563999665,0.0010317712765990756,1,2,3
bsh.ConsoleInterface,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.11819868349991165,0.0,1,0,1
org.gjt.sp.jedit.textarea.JEditTextArea,28,79,756,0.10449735449735449,1,0.03571428571428571,373,13.321428571428571,677,0.8955026455026455,0.5014245014245015,0.01790801790801791,0.14773730129472615,0.04536144454333542,11,27,38
bsh.BSHFormalParameters,6,19,30,0.6333333333333333,1,0.16666666666666666,373,62.166666666666664,11,0.36666666666666664,0.0,0.0,0.1042465868603319,0.00010801881983385873,3,5,8
bsh.ReflectManager,3,4,6,0.6666666666666666,1,0.3333333333333333,373,124.33333333333333,2,0.3333333333333333,0.0,0.0,0.1042465868603319,0.002269236360878112,3,3,6
org.gjt.sp.jedit.pluginmgr.PluginManager,8,14,56,0.25,1,0.125,402,50.25,42,0.75,0.23809523809523808,0.02976190476190476,0.01713262751569908,0.011029671711300943,5,7,12
bsh.BSHPrimaryExpression,7,24,42,0.5714285714285714,1,0.14285714285714285,373,53.285714285714285,18,0.42857142857142855,0.0,0.0,0.09879069072558555,1.8512245023739512e-07,1,6,7
org.gjt.sp.jedit.Java14,4,4,12,0.3333333333333333,1,0.25,375,93.75,8,0.6666666666666666,0.0,0.0,0.0,0.0,0,3,3
org.gjt.sp.jedit.EBMessage,2,2,2,1.0,1,0.5,0,0.0,0,0.0,0.0,0.0,0.16630421299607545,6.62123979949811e-05,18,1,19
org.gjt.sp.jedit.options.AbbrevsOptionPane,9,16,72,0.2222222222222222,1,0.1111111111111111,373,41.44444444444444,56,0.7777777777777778,0.4464285714285714,0.0496031746031746,0.10368419723038405,0.017580287755797452,5,8,13
org.gjt.sp.jedit.gui.AboutDialog,5,5,20,0.25,1,0.2,377,75.4,15,0.75,0.0,0.0,0.002368265245707519,0.0005096732330564445,1,4,5
org.gjt.sp.jedit.search.SearchDialog,22,54,462,0.11688311688311688,1,0.045454545454545456,373,16.954545454545453,408,0.8831168831168831,0.1642857142857143,0.007467532467532469,0.11427679900148817,0.014175291537999575,6,21,27
gnu.regexp.RETokenLookAhead,5,9,20,0.45,1,0.2,24,4.8,11,0.55,0.0,0.0,0.13484666909199852,0.0,1,4,5
gnu.regexp.RESyntax,1,1,0,0,1,1.0,-1,-1.0,-1,0,0.0,0.0,0.13651203646755072,0.0,4,1,5
org.gjt.sp.jedit.search.AllBufferSet,5,6,20,0.3,1,0.2,373,74.6,14,0.7,0.0,0.0,0.09649113562425975,0.0007275199163943372,1,4,5
org.gjt.sp.jedit.textarea.FoldVisibilityManager,3,6,6,1.0,1,0.3333333333333333,373,124.33333333333333,0,0.0,0.0,0.0,0.13009974040169422,0.0010355968944106204,9,2,11
bsh.ReturnControl,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.11872665081872755,1.6645280641538614e-05,9,1,10
org.gjt.sp.jedit.gui.BufferSwitcher,4,5,12,0.4166666666666667,1,0.25,373,93.25,7,0.5833333333333334,0.6666666666666666,0.16666666666666666,0.11097746884658956,0.0033532866001276837,2,3,5
org.gjt.sp.jedit.buffer.OffsetManager,7,15,42,0.35714285714285715,1,0.14285714285714285,373,53.285714285714285,27,0.6428571428571429,0.36666666666666664,0.052380952380952375,0.1287527881563661,0.004538472721756224,3,6,9
org.gjt.sp.jedit.View,28,84,756,0.1111111111111111,1,0.03571428571428571,373,13.321428571428571,672,0.8888888888888888,0.548670465337132,0.01959537376204043,0.1725812882879617,0.15577571037467888,59,28,87
org.gjt.sp.jedit.io.VFS,8,19,56,0.3392857142857143,1,0.125,373,46.625,37,0.6607142857142857,0.09523809523809523,0.011904761904761904,0.1318852639755166,0.007780699230213462,6,7,13
org.gjt.sp.jedit.gui.JEditMetalTheme,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.0017761989342806395,0.0,1,0,1
org.gjt.sp.jedit.buffer.BufferChangeAdapter,3,5,6,0.8333333333333334,1,0.3333333333333333,374,124.66666666666667,1,0.16666666666666666,0.0,0.0,0.0,0.0,0,2,2
gnu.regexp.RETokenEndSub,4,8,12,0.6666666666666666,1,0.25,2,0.5,4,0.3333333333333333,0.0,0.0,0.135362807056519,0.0,1,3,4
gnu.regexp.RETokenRange,4,8,12,0.6666666666666666,1,0.25,2,0.5,4,0.3333333333333333,0.0,0.0,0.135362807056519,0.0,1,3,4
org.gjt.sp.jedit.options.ContextAddDialog,9,14,72,0.19444444444444445,1,0.1111111111111111,373,41.44444444444444,58,0.8055555555555556,0.125,0.013888888888888888,0.07755395383446555,0.004326042218812899,2,8,10
com.microstar.xml.XmlParser,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.1222768439426918,0.001072988502114372,6,1,7
org.gjt.sp.jedit.io.VFSManager,12,19,132,0.14393939393939395,1,0.08333333333333333,411,34.25,113,0.8560606060606061,0.08181818181818182,0.006818181818181818,0.0017761989342806395,0.0012894825003318521,1,11,12
org.gjt.sp.jedit.gui.BufferOptions,9,14,72,0.19444444444444445,1,0.1111111111111111,373,41.44444444444444,58,0.8055555555555556,0.10714285714285714,0.011904761904761904,0.0940863721196053,0.002635891412669549,2,8,10
gnu.regexp.CharIndexed,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.15002874524845336,0.0,27,0,27
bsh.InterpreterError,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.1252293472416614,0.0,17,0,17
org.gjt.sp.jedit.Registers,5,6,20,0.3,1,0.2,373,74.6,14,0.7,0.0,0.0,0.10057663090045342,0.005046485385927681,4,4,8
bsh.BSHTernaryExpression,6,18,30,0.6,1,0.16666666666666666,373,62.166666666666664,12,0.4,0.0,0.0,0.09879069072558555,1.8512245023739512e-07,1,5,6
