name,Size,Ties,Pairs,Density,WeakComp,nWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree
org.apache.lucene.analysis.WhitespaceAnalyzer,4,4,12,0.3333333333333333,1,0.25,6,1.5,8,0.6666666666666666,0.0,0.0,0.05602617542916051,0.0006293323398586558,35,3,38
org.apache.lucene.search.QueryTermVector,3,2,6,0.3333333333333333,1,0.3333333333333333,4,1.3333333333333333,4,0.6666666666666666,0.0,0.0,0.0015015015015015015,3.3868454921086504e-06,1,2,3
org.apache.lucene.analysis.PorterStemmer,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.003003003003003003,0.0,2,0,2
org.apache.lucene.index.TermPositions,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.1485050718921687,0.0,15,0,15
org.apache.lucene.analysis.TokenStream,3,3,6,0.5,1,0.3333333333333333,1,0.3333333333333333,3,0.5,0.0,0.0,0.1626101239360908,0.0006243676544428424,56,2,58
org.apache.lucene.search.ExactPhraseScorer,6,9,30,0.3,1,0.16666666666666666,60,10.0,21,0.7,0.0,0.0,0.02200331172293789,0.00021999443052074633,2,5,7
org.apache.lucene.search.RangeFilter,2,3,2,1.5,1,0.5,54,27.0,-1,-0.5,0.0,0.0,0.010687157745981276,0.00020983389404442035,8,2,10
org.apache.lucene.index.SegmentInfo,2,1,2,0.5,1,0.5,3,1.5,1,0.5,0.0,0.0,0.11243379743379744,2.78473962684489e-06,9,1,10
org.apache.lucene.store.BufferedIndexInput,3,2,6,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,4,0.6666666666666666,0.0,0.0,0.09089252852034038,0.000622050622050622,4,2,6
org.apache.lucene.index.TermInfosWriter,7,10,42,0.23809523809523808,1,0.14285714285714285,15,2.142857142857143,32,0.7619047619047619,0.0,0.0,0.021073705284231598,5.261975186787217e-05,3,6,9
org.apache.lucene.search.MultiSearcher,14,46,182,0.25274725274725274,1,0.07142857142857142,59,4.214285714285714,136,0.7472527472527473,0.0,0.0,0.0045045045045045045,8.21068114301197e-05,3,13,16
org.apache.lucene.analysis.standard.ParseException,3,4,6,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,2,0.3333333333333333,0.0,0.0,0.060789534473745,0.00011026063657642606,5,2,7
org.apache.lucene.search.MultiPhraseQuery,12,41,132,0.3106060606060606,1,0.08333333333333333,82,6.833333333333333,91,0.6893939393939394,0.045454545454545456,0.003787878787878788,0.03358698504329572,0.00224688877551935,6,11,17
org.apache.lucene.store.IndexOutput,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.17153229178545634,0.0,24,0,24
org.apache.lucene.search.HitQueue,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.010350776308223118,3.0105293263188e-06,4,1,5
org.apache.lucene.search.NonMatchingScorer,3,4,6,0.6666666666666666,1,0.3333333333333333,56,18.666666666666668,2,0.3333333333333333,0.0,0.0,0.002002002002002002,0.0,1,2,3
org.apache.lucene.search.TopFieldDocs,3,3,6,0.5,1,0.3333333333333333,1,0.3333333333333333,3,0.5,0.0,0.0,0.14231380859422574,0.0002836079903749073,10,2,12
org.apache.lucene.search.spans.SpanNearQuery,7,12,42,0.2857142857142857,1,0.14285714285714285,65,9.285714285714286,30,0.7142857142857143,0.16666666666666666,0.023809523809523808,0.018300909605257428,0.0008578942350872174,8,6,14
org.apache.lucene.document.Document,2,1,2,0.5,1,0.5,4,2.0,1,0.5,0.0,0.0,0.2487398974537238,0.0021305166605918484,116,1,117
org.apache.lucene.analysis.standard.StandardTokenizerConstants,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.032565352237483386,0.0,3,0,3
org.apache.lucene.queryParser.QueryParserTokenManager,7,8,42,0.19047619047619047,1,0.14285714285714285,5,0.7142857142857143,34,0.8095238095238095,0.0,0.0,0.03190358500093013,6.32211158526948e-05,2,6,8
org.apache.lucene.search.SloppyPhraseScorer,5,8,20,0.4,1,0.2,60,12.0,12,0.6,0.0,0.0,0.02200331172293789,0.00019967335756809442,2,4,6
org.apache.lucene.index.TermEnum,2,2,2,1.0,1,0.5,0,0.0,0,0.0,0.0,0.0,0.15805005482809778,5.64474248684775e-06,25,1,26
org.apache.lucene.search.MultiSearcherThread,10,15,90,0.16666666666666666,1,0.1,58,5.8,75,0.8333333333333334,0.0,0.0,0.0015015015015015015,0.0,1,9,10
org.apache.lucene.index.TermVectorsWriter,10,13,90,0.14444444444444443,1,0.1,16,1.6,77,0.8555555555555555,0.0,0.0,0.022738955171387604,0.0002674747787529743,5,9,14
org.apache.lucene.index.FieldsReader,11,24,110,0.21818181818181817,1,0.09090909090909091,12,1.0909090909090908,86,0.7818181818181819,0.0,0.0,0.007154213036565978,7.910165804902648e-05,2,10,12
org.apache.lucene.store.FSIndexInput,4,4,12,0.3333333333333333,1,0.25,13,3.25,8,0.6666666666666666,0.0,0.0,0.004692192192192192,4.5157939894782e-05,2,3,5
org.apache.lucene.search.Query,5,14,20,0.7,1,0.2,53,10.6,6,0.3,0.20833333333333331,0.041666666666666664,0.18367388472810162,0.006466385047983355,96,5,101
org.apache.lucene.search.RangeQuery,7,15,42,0.35714285714285715,1,0.14285714285714285,59,8.428571428571429,27,0.6428571428571429,0.0,0.0,0.03391626921038686,0.0002756808331334631,7,6,13
org.apache.lucene.search.PrefixQuery,6,12,30,0.4,1,0.16666666666666666,59,9.833333333333334,18,0.6,0.0,0.0,0.03283977046353284,0.00030845797117375886,6,5,11
org.apache.lucene.analysis.standard.StandardTokenizer,9,17,72,0.2361111111111111,1,0.1111111111111111,8,0.8888888888888888,55,0.7638888888888888,0.0,0.0,0.04504504504504504,0.0009331323805008014,12,8,20
org.apache.lucene.search.TopDocs,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.14566145092460883,0.00034785053582046094,16,1,17
org.apache.lucene.analysis.Tokenizer,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.06549981202222314,0.0,5,0,5
org.apache.lucene.util.BitVector,4,5,12,0.4166666666666667,1,0.25,3,0.75,7,0.5833333333333334,0.0,0.0,0.008108108108108109,7.875759755459004e-06,3,3,6
