name,Size,Ties,Pairs,Density,WeakComp,nWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree
org.apache.poi.hssf.record.SSTDeserializer,7,13,42,0.30952380952380953,1,0.14285714285714285,189,27.0,29,0.6904761904761905,0.03333333333333333,0.0047619047619047615,0.06635548096422612,0.0014009164628123593,3,6,9
org.apache.poi.hssf.record.BottomMarginRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.04508666178431263,5.63635180005992e-06,4,4,8
org.apache.poi.hssf.record.MergeCellsRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.04601149231029238,3.3139410464115194e-05,6,4,10
org.apache.poi.hssf.record.WindowProtectRecord,4,3,12,0.25,1,0.25,4,1.0,9,0.75,0.0,0.0,0.07560322921585824,4.969141482736756e-06,5,3,8
org.apache.poi.hssf.eventusermodel.HSSFRequest,6,8,30,0.26666666666666666,1,0.16666666666666666,257,42.833333333333336,22,0.7333333333333333,0.0,0.0,0.005692167577413479,0.0004954955676513839,4,5,9
org.apache.poi.hssf.record.formula.ConcatPtg,3,3,6,0.5,1,0.3333333333333333,189,63.0,3,0.5,0.0,0.0,0.06446971241106872,5.924735630080237e-06,2,2,4
org.apache.poi.hssf.record.DataFormatRecord,6,5,30,0.16666666666666666,1,0.16666666666666666,6,1.0,25,0.8333333333333334,0.0,0.0,0.004879000780640125,1.378756078149385e-05,3,5,8
org.apache.poi.hssf.usermodel.HSSFCell,16,52,240,0.21666666666666667,1,0.0625,250,15.625,188,0.7833333333333333,0.05952380952380953,0.0037202380952380955,0.059189950854039934,0.006415164545356378,35,15,50
org.apache.poi.hssf.record.ExternSheetRecord,5,6,20,0.3,1,0.2,5,1.0,14,0.7,0.0,0.0,0.07560322921585824,2.679004419888738e-05,5,4,9
org.apache.poi.hssf.util.RangeAddress,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.06282537660611431,0.0,4,0,4
org.apache.poi.hssf.record.MulBlankRecord,4,3,12,0.25,1,0.25,4,1.0,9,0.75,0.0,0.0,0.03466692688004163,2.5600513812552422e-08,3,3,6
org.apache.poi.util.StringUtil,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.09539016798969961,0.0,16,0,16
org.apache.poi.hssf.record.PrintGridlinesRecord,4,3,12,0.25,1,0.25,4,1.0,9,0.75,0.0,0.0,0.05729353091368984,1.8059656542388026e-05,6,3,9
org.apache.poi.poifs.property.Parent,4,4,12,0.3333333333333333,1,0.25,17,4.25,8,0.6666666666666666,0.0,0.0,0.040854289352220276,0.0002033918154884269,1,3,4
org.apache.poi.hssf.record.LabelRecord,6,6,30,0.2,1,0.16666666666666666,6,1.0,24,0.8,0.0,0.0,0.04508666178431263,6.835893335655816e-06,4,5,9
org.apache.poi.hssf.record.FooterRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.04714557838836297,1.8824476771652423e-05,7,4,11
org.apache.poi.hssf.record.formula.AreaPtg,7,11,42,0.2619047619047619,1,0.14285714285714285,189,27.0,31,0.7380952380952381,0.13333333333333333,0.019047619047619046,0.06435540441033988,0.00013519033831428705,2,6,8
org.apache.poi.hssf.record.CustomField,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.0039376406300225,0.0,1,0,1
org.apache.poi.hssf.record.SCLRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.05219610269099907,7.945187572721168e-05,6,4,10
org.apache.poi.hssf.record.NumberRecord,5,5,20,0.25,1,0.2,5,1.0,15,0.75,0.0,0.0,0.05271395378856331,1.777964933377269e-05,9,4,13
org.apache.poi.hssf.eventmodel.ERFListener,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.03006176001821494,0.0,3,1,4
org.apache.poi.hssf.dev.EFHSSFListener,4,6,12,0.5,1,0.25,354,88.5,6,0.5,0.16666666666666666,0.041666666666666664,0.001366120218579235,9.344187541581634e-07,1,3,4
org.apache.poi.hssf.record.formula.MultiplyPtg,4,8,12,0.6666666666666666,1,0.25,189,47.25,4,0.3333333333333333,0.16666666666666666,0.041666666666666664,0.06435540441033988,5.924735630080237e-06,2,3,5
org.apache.poi.hssf.record.MulRKRecord,6,5,30,0.16666666666666666,1,0.16666666666666666,6,1.0,25,0.8333333333333334,0.0,0.0,0.03466692688004163,0.000202794470166134,3,5,8
org.apache.poi.hssf.record.ExtSSTRecord,5,6,20,0.3,1,0.2,5,1.0,14,0.7,0.0,0.0,0.0820160031225605,0.000313140446604099,7,4,11
org.apache.poi.hssf.record.BlankRecord,5,5,20,0.25,1,0.2,5,1.0,15,0.75,0.0,0.0,0.050657214591640826,1.1329343916186885e-05,5,4,9
org.apache.poi.hssf.record.formula.AbstractFunctionPtg,4,4,12,0.3333333333333333,1,0.25,189,47.25,8,0.6666666666666666,0.0,0.0,0.05807431693989071,0.00126732100897291,5,3,8
org.apache.poi.hssf.record.AxisRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.004879000780640125,9.711458459669299e-06,3,4,7
org.apache.poi.hssf.record.ExtSSTInfoSubRecord,3,2,6,0.3333333333333333,1,0.3333333333333333,3,1.0,4,0.6666666666666666,0.0,0.0,0.06067312063755249,0.0,1,2,3
org.apache.poi.poifs.property.Child,1,1,0,0,1,1.0,-1,-1.0,-1,0,0.0,0.0,0.034683988040004124,0.0,4,1,5
org.apache.poi.hssf.record.LeftMarginRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.04508666178431263,5.63635180005992e-06,4,4,8
org.apache.poi.hssf.record.RecordFormatException,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.24933351008204085,0.0,140,0,140
org.apache.poi.hssf.record.formula.ExpPtg,3,6,6,1.0,1,0.3333333333333333,189,63.0,0,0.0,0.0,0.0,0.06435540441033988,0.0,2,2,4
org.apache.poi.hssf.record.RkRec,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.026341106749788346,0.0,1,0,1
org.apache.poi.hssf.record.aggregates.RowRecordsAggregate,4,4,12,0.3333333333333333,1,0.25,15,3.75,8,0.6666666666666666,0.0,0.0,0.03918235175065776,1.827956687821907e-05,2,3,5
org.apache.poi.util.POILogger,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.08639140988389472,8.589681477708209e-05,12,1,13
org.apache.poi.hssf.record.formula.StringPtg,5,8,20,0.4,1,0.2,189,37.8,12,0.6,0.16666666666666666,0.03333333333333333,0.06458442720183576,4.134180041313768e-05,3,4,7
org.apache.poi.util.IOUtils,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.05130540376442015,0.0,3,0,3
org.apache.poi.poifs.storage.RawDataBlock,4,3,12,0.25,1,0.25,2,0.5,9,0.75,0.0,0.0,0.05422131147540984,9.677463563898046e-05,16,3,19
org.apache.poi.hssf.record.IterationRecord,4,3,12,0.25,1,0.25,4,1.0,9,0.75,0.0,0.0,0.04587489013718522,9.482752621647767e-07,5,3,8
org.apache.poi.poifs.storage.PropertyBlock,5,5,20,0.25,1,0.2,29,5.8,15,0.75,0.0,0.0,0.03569071566220532,0.0004832502323587969,2,4,6
org.apache.poi.poifs.storage.BlockWritable,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.0688264376788967,0.0,10,0,10
org.apache.poi.hssf.record.WSBoolRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.05779831973231266,3.825692256398253e-05,7,4,11
org.apache.poi.hssf.record.LegendRecord,6,5,30,0.16666666666666666,1,0.16666666666666666,6,1.0,25,0.8333333333333334,0.0,0.0,0.004879000780640125,1.378756078149385e-05,3,5,8
org.apache.poi.util.IntegerField,4,4,12,0.3333333333333333,1,0.25,3,0.75,8,0.6666666666666666,0.0,0.0,0.04634060799420743,0.00016177906646308734,5,3,8
org.apache.poi.hssf.record.PColor,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.05816752179535311,0.0,1,0,1
org.apache.poi.hssf.record.CountryRecord,4,3,12,0.25,1,0.25,4,1.0,9,0.75,0.0,0.0,0.07560322921585824,4.969141482736756e-06,5,3,8
org.apache.poi.poifs.filesystem.POIFSFileSystem,25,79,600,0.13166666666666665,1,0.04,71,2.84,521,0.8683333333333333,0.08152173913043478,0.0032608695652173916,0.05679748302699123,0.007896359822841325,21,24,45
org.apache.poi.hssf.record.NameRecord,11,25,110,0.22727272727272727,1,0.09090909090909091,189,17.181818181818183,85,0.7727272727272727,0.16111111111111112,0.014646464646464647,0.0773911473079567,0.0010410241413229178,4,10,14
org.apache.poi.hssf.record.ChartFormatRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.0030737704918032786,4.811181355023144e-07,2,4,6
org.apache.poi.poifs.filesystem.DocumentNode,8,20,56,0.35714285714285715,1,0.125,71,8.875,36,0.6428571428571429,0.0,0.0,0.04969779764861732,0.0012176722258353072,5,7,12
org.apache.poi.hpsf.PropertySetFactory,8,13,56,0.23214285714285715,1,0.125,22,2.75,43,0.7678571428571429,0.0,0.0,0.010331284153005464,0.00010138443482616073,6,7,13
org.apache.poi.hssf.record.AxisParentRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.004879000780640125,1.1580295967985625e-05,3,4,7
org.apache.poi.hssf.record.formula.UnionPtg,3,3,6,0.5,1,0.3333333333333333,189,63.0,3,0.5,0.0,0.0,0.0748380372936736,7.977988249382338e-05,2,2,4
org.apache.poi.poifs.storage.SmallBlockTableWriter,7,14,42,0.3333333333333333,1,0.14285714285714285,50,7.142857142857143,28,0.6666666666666666,0.0,0.0,0.04127251415647236,9.699266668161747e-05,2,6,8
org.apache.poi.hssf.record.formula.AttrPtg,5,5,20,0.25,1,0.2,189,37.8,15,0.75,0.0,0.0,0.06469955095798875,2.190623058154671e-05,3,4,7
org.apache.poi.hpsf.Thumbnail,3,2,6,0.3333333333333333,1,0.3333333333333333,3,1.0,4,0.6666666666666666,0.0,0.0,0.0,0.0,0,2,2
org.apache.poi.hssf.record.UnicodeString,4,3,12,0.25,1,0.25,4,1.0,9,0.75,0.0,0.0,0.0682433448638893,2.734732220502892e-05,8,3,11
org.apache.poi.hssf.record.LinkedDataRecord,7,7,42,0.16666666666666666,1,0.14285714285714285,192,27.428571428571427,35,0.8333333333333334,0.0,0.0,0.004879000780640125,1.659081704396834e-05,3,6,9
org.apache.poi.util.ShortField,4,4,12,0.3333333333333333,1,0.25,3,0.75,8,0.6666666666666666,0.0,0.0,0.03859289617486339,5.0348866543204555e-05,3,3,6
org.apache.poi.poifs.common.POIFSConstants,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.06148760733801717,0.0,17,0,17
org.apache.poi.hpsf.DocumentSummaryInformation,5,6,20,0.3,1,0.2,20,4.0,14,0.7,0.0,0.0,0.007285974499089253,9.967133377687077e-06,2,4,6
org.apache.poi.hssf.record.formula.GreaterThanPtg,3,3,6,0.5,1,0.3333333333333333,189,63.0,3,0.5,0.0,0.0,0.06446971241106872,5.924735630080237e-06,2,2,4
org.apache.poi.hpsf.Section,9,15,72,0.20833333333333334,1,0.1111111111111111,11,1.2222222222222223,57,0.7916666666666666,0.0,0.0,0.011281508901815618,8.120321454290192e-05,5,8,13
org.apache.poi.hssf.model.Model,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.0721164918451521,0.0,6,0,6
org.apache.poi.hssf.record.ExternSheetSubRecord,3,2,6,0.3333333333333333,1,0.3333333333333333,3,1.0,4,0.6666666666666666,0.0,0.0,0.07408889034027823,2.110125388231009e-06,2,2,4
org.apache.poi.poifs.filesystem.POIFSWriterEvent,3,3,6,0.5,1,0.3333333333333333,1,0.3333333333333333,3,0.5,0.0,0.0,0.04221247638016445,5.8868381511964225e-05,4,2,6
org.apache.poi.hssf.record.AxisLineFormatRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.004879000780640125,1.1580295967985625e-05,3,4,7
org.apache.poi.poifs.storage.DocumentBlock,5,7,20,0.35,1,0.2,5,1.0,13,0.65,0.0,0.0,0.04449997211999554,6.248146736137586e-05,5,5,10
org.apache.poi.poifs.eventfilesystem.POIFSReader,14,27,182,0.14835164835164835,1,0.07142857142857142,77,5.5,155,0.8516483516483516,0.0,0.0,0.00702576112412178,0.000637794195070327,5,13,18
org.apache.poi.hssf.record.formula.PowerPtg,3,3,6,0.5,1,0.3333333333333333,189,63.0,3,0.5,0.0,0.0,0.06446971241106872,5.924735630080237e-06,2,2,4
org.apache.poi.poifs.dev.POIFSViewEngine,2,1,2,0.5,1,0.5,9,4.5,1,0.5,0.0,0.0,0.001366120218579235,0.0,1,1,2
org.apache.poi.hssf.record.RightMarginRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.04508666178431263,5.63635180005992e-06,4,4,8
org.apache.poi.hssf.record.SSTRecord,11,30,110,0.2727272727272727,1,0.09090909090909091,189,17.181818181818183,80,0.7272727272727273,0.1351851851851852,0.012289562289562293,0.09330706449211232,0.004429053831337261,14,10,24
org.apache.poi.hssf.dev.EFHSSF,16,38,240,0.15833333333333333,1,0.0625,354,22.125,202,0.8416666666666667,0.06190476190476191,0.003869047619047619,0.001366120218579235,0.0006578308029273471,1,15,16
org.apache.poi.poifs.property.DocumentProperty,3,3,6,0.5,1,0.3333333333333333,27,9.0,3,0.5,0.5,0.16666666666666666,0.04410563673081492,0.0001914416378658042,10,2,12
org.apache.poi.util.SystemOutLogger,2,1,2,0.5,1,0.5,1,0.5,1,0.5,0.0,0.0,0.0,0.0,0,1,1
org.apache.poi.poifs.storage.BATBlock,5,4,20,0.2,1,0.2,7,1.4,16,0.8,0.0,0.0,0.05495008700430441,0.0002795565957229011,6,4,10
org.apache.poi.util.LittleEndianConsts,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.26502629137024436,0.0,24,0,24
org.apache.poi.hssf.record.WindowTwoRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.06046183677066808,6.446542128305191e-05,8,4,12
org.apache.poi.hssf.record.HeaderRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.04714557838836297,1.8824476771652423e-05,7,4,11
org.apache.poi.hssf.record.StringRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.04912938779290543,3.718313121916783e-05,9,4,13
org.apache.poi.hssf.record.formula.OperationPtg,2,2,2,1.0,1,0.5,189,94.5,0,0.0,0.0,0.0,0.06539900556293998,0.0013193992808713266,20,1,21
org.apache.poi.util.LongField,4,4,12,0.3333333333333333,1,0.25,3,0.75,8,0.6666666666666666,0.0,0.0,0.03758119393751933,8.526647480345425e-05,3,3,6
org.apache.poi.hssf.record.FontBasisRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.004879000780640125,9.711458459669299e-06,3,4,7
org.apache.poi.hssf.record.SheetPropertiesRecord,6,5,30,0.16666666666666666,1,0.16666666666666666,6,1.0,25,0.8333333333333334,0.0,0.0,0.004879000780640125,1.378756078149385e-05,3,5,8
org.apache.poi.hssf.record.BOFRecord,4,3,12,0.25,1,0.25,4,1.0,9,0.75,0.0,0.0,0.07290311388672045,1.2396748858418687e-05,8,3,11
org.apache.poi.hssf.model.Node,2,3,2,1.5,1,0.5,189,94.5,-1,-0.5,0.0,0.0,0.05491141919429908,0.0043581290693936745,4,2,6
org.apache.poi.hssf.record.RecordProcessor,5,8,20,0.4,1,0.2,189,37.8,12,0.6,0.0,0.0,0.0511217578696221,1.2147443804056126e-06,1,4,5
org.apache.poi.hssf.record.TickRecord,6,5,30,0.16666666666666666,1,0.16666666666666666,6,1.0,25,0.8333333333333334,0.0,0.0,0.004879000780640125,1.1918723273177522e-05,3,5,8
org.apache.poi.poifs.storage.BigBlock,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.05119767064925443,2.8032562624744904e-05,6,1,7
org.apache.poi.hssf.record.WriteAccessRecord,6,8,30,0.26666666666666666,1,0.16666666666666666,6,1.0,22,0.7333333333333333,0.0,0.0,0.07560322921585824,0.0001135853100241145,5,5,10
org.apache.poi.hssf.record.PrecisionRecord,4,3,12,0.25,1,0.25,4,1.0,9,0.75,0.0,0.0,0.07560322921585824,4.969141482736756e-06,5,3,8
org.apache.poi.util.CommonsLogger,2,1,2,0.5,1,0.5,1,0.5,1,0.5,0.0,0.0,0.0,0.0,0,1,1
org.apache.poi.hssf.eventmodel.ModelFactoryListener,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.0030737704918032786,0.0,2,1,3
org.apache.poi.poifs.storage.ListManagedBlock,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.05635574295922657,0.0,10,0,10
org.apache.poi.hssf.record.UnknownRecord,4,3,12,0.25,1,0.25,4,1.0,9,0.75,0.0,0.0,0.04167750889062364,1.5297983318866124e-05,3,3,6
org.apache.poi.hssf.record.formula.NamePtg,4,7,12,0.5833333333333334,1,0.25,189,47.25,5,0.4166666666666667,0.16666666666666666,0.041666666666666664,0.06458442720183576,5.392453980734127e-06,3,3,6
org.apache.poi.hpsf.SummaryInformation,5,6,20,0.3,1,0.2,20,4.0,14,0.7,0.0,0.0,0.00936768149882904,4.033574288782739e-05,5,4,9
org.apache.poi.poifs.eventfilesystem.POIFSReaderListener,2,1,2,0.5,1,0.5,73,36.5,1,0.5,0.0,0.0,0.006915983606557377,0.0001224088567947194,3,1,4
org.apache.poi.hssf.record.VCenterRecord,4,3,12,0.25,1,0.25,4,1.0,9,0.75,0.0,0.0,0.058054064509889265,1.9550714983316283e-05,8,3,11
org.apache.poi.poifs.property.DirectoryProperty,6,7,30,0.23333333333333334,1,0.16666666666666666,20,3.3333333333333335,23,0.7666666666666667,0.0,0.0,0.05491712506580978,0.00134328925368597,13,5,18
org.apache.poi.hssf.record.formula.Ref3DPtg,8,12,56,0.21428571428571427,1,0.125,189,23.625,44,0.7857142857142857,0.10714285714285714,0.013392857142857142,0.06771725389446212,0.00017924299135754367,3,7,10
org.apache.poi.hssf.record.SeriesIndexRecord,5,4,20,0.2,1,0.2,5,1.0,16,0.8,0.0,0.0,0.004879000780640125,1.1580295967985625e-05,3,4,7
org.apache.poi.util.BitField,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.12604288641686182,0.0,40,0,40
org.apache.poi.hssf.record.AreaFormatRecord,6,5,30,0.16666666666666666,1,0.16666666666666666,6,1.0,25,0.8333333333333334,0.0,0.0,0.004879000780640125,1.378756078149385e-05,3,5,8
org.apache.poi.hssf.record.UseSelFSRecord,4,3,12,0.25,1,0.25,4,1.0,9,0.75,0.0,0.0,0.07560322921585824,4.969141482736756e-06,5,3,8
org.apache.poi.hssf.model.Workbook,57,109,3192,0.03414786967418546,1,0.017543859649122806,189,3.3157894736842106,3083,0.9658521303258145,0.01753246753246753,0.0003075871496924128,0.09999021511689171,0.03269236258118737,52,57,109
org.apache.poi.hpsf.Util,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.03426264593146155,0.0,2,0,2
org.apache.poi.hssf.record.formula.LessThanPtg,3,3,6,0.5,1,0.3333333333333333,189,63.0,3,0.5,0.0,0.0,0.06469955095798875,6.319267992947017e-06,3,2,5
org.apache.poi.util.NullLogger,2,1,2,0.5,1,0.5,1,0.5,1,0.5,0.0,0.0,0.06145117221928433,0.0,1,1,2
org.apache.poi.hpsf.NoPropertySetStreamException,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.012059543998492557,8.40976878742347e-06,6,1,7
org.apache.poi.hssf.record.HideObjRecord,4,3,12,0.25,1,0.25,4,1.0,9,0.75,0.0,0.0,0.07560322921585824,4.969141482736756e-06,5,3,8
org.apache.poi.hssf.record.DefaultRowHeightRecord,4,3,12,0.25,1,0.25,4,1.0,9,0.75,0.0,0.0,0.04587489013718522,9.482752621647767e-07,5,3,8
