name,Size,Ties,Pairs,Density,WeakComp,nWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree
org.apache.velocity.runtime.log.JdkLogChute,3,3,6,0.5,1,0.3333333333333333,125,41.666666666666664,3,0.5,0.0,0.0,0.0,0.0,0,2,2
org.apache.velocity.util.introspection.IntrospectorBase,8,18,56,0.32142857142857145,1,0.125,124,15.5,38,0.6785714285714286,0.0,0.0,0.17823936354202696,0.012762996316004914,1,7,8
org.apache.velocity.runtime.parser.node.ASTIfStatement,8,17,56,0.30357142857142855,1,0.125,124,15.5,39,0.6964285714285714,0.11904761904761904,0.01488095238095238,0.18899321474417752,3.443649118376725e-05,4,7,11
org.apache.velocity.runtime.directive.Include,14,27,182,0.14835164835164835,1,0.07142857142857142,126,9.0,155,0.8516483516483516,0.0,0.0,0.0,0.0,0,13,13
org.apache.velocity.app.event.implement.ReportInvalidReferences,8,11,56,0.19642857142857142,1,0.125,126,15.75,45,0.8035714285714286,0.0,0.0,0.002857142857142857,0.00010788570810000588,1,7,8
org.apache.velocity.runtime.parser.node.ASTFloatingPointLiteral,7,17,42,0.40476190476190477,1,0.14285714285714285,124,17.714285714285715,25,0.5952380952380952,0.11666666666666667,0.016666666666666666,0.18899321474417752,2.3843493806652946e-05,4,6,10
org.apache.velocity.runtime.resource.Resource,6,8,30,0.26666666666666666,1,0.16666666666666666,124,20.666666666666668,22,0.7333333333333333,0.1,0.016666666666666666,0.2240878451837356,0.010713071638157648,26,5,31
org.apache.velocity.anakia.AnakiaElement,3,4,6,0.6666666666666666,1,0.3333333333333333,2,0.6666666666666666,2,0.3333333333333333,0.0,0.0,0.004285714285714286,2.4559967253376996e-05,1,2,3
org.apache.velocity.app.event.implement.PrintExceptions,4,4,12,0.3333333333333333,1,0.25,125,31.25,8,0.6666666666666666,0.0,0.0,0.0,0.0,0,3,3
org.apache.velocity.app.event.implement.EscapeXmlReference,2,1,2,0.5,1,0.5,127,63.5,1,0.5,0.0,0.0,0.002857142857142857,0.0,1,1,2
org.apache.velocity.runtime.resource.loader.ClasspathResourceLoader,7,11,42,0.2619047619047619,1,0.14285714285714285,126,18.0,31,0.7380952380952381,0.0,0.0,0.0,0.0,0,6,6
org.apache.velocity.runtime.RuntimeConstants,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.23726152441807397,0.0,67,0,67
org.apache.velocity.anakia.Escape,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.0038095238095238095,0.0,1,0,1
org.apache.velocity.runtime.VelocimacroFactory,13,36,156,0.23076923076923078,1,0.07692307692307693,134,10.307692307692308,120,0.7692307692307693,0.0,0.0,0.0701601537475977,0.005669432932814473,1,12,13
org.apache.velocity.runtime.parser.node.ASTAddNode,10,19,90,0.2111111111111111,1,0.1,124,12.4,71,0.7888888888888889,0.1736111111111111,0.017361111111111112,0.18899321474417752,0.00040127348454971503,4,9,13
org.apache.velocity.runtime.directive.Macro,12,26,132,0.19696969696969696,1,0.08333333333333333,124,10.333333333333334,106,0.803030303030303,0.0,0.0,0.18659786347999274,0.0008582302853724105,2,11,13
org.apache.velocity.app.event.implement.InvalidReferenceInfo,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.005714285714285714,4.093327875562833e-06,2,1,3
org.apache.velocity.util.ContextAware,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.10731532250024922,0.0,5,1,6
org.apache.velocity.util.introspection.SecureIntrospectorImpl,4,4,12,0.3333333333333333,1,0.25,126,31.5,8,0.6666666666666666,0.0,0.0,0.0038095238095238095,4.366216400600356e-05,1,3,4
org.apache.velocity.runtime.parser.node.ASTFalse,5,11,20,0.55,1,0.2,124,24.8,9,0.45,0.16666666666666666,0.03333333333333333,0.18899321474417752,1.5627715564712997e-05,4,4,8
org.apache.velocity.runtime.resource.util.StringResourceRepository,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.011428571428571429,1.2279983626688498e-05,4,1,5
org.apache.velocity.runtime.parser.node.ASTModNode,10,19,90,0.2111111111111111,1,0.1,124,12.4,71,0.7888888888888889,0.1736111111111111,0.017361111111111112,0.18899321474417752,0.00040127348454971503,4,9,13
org.apache.velocity.runtime.parser.node.ASTLTNode,10,19,90,0.2111111111111111,1,0.1,124,12.4,71,0.7888888888888889,0.1736111111111111,0.017361111111111112,0.18899321474417752,0.00040127348454971503,4,9,13
org.apache.velocity.app.event.implement.EscapeSqlReference,2,1,2,0.5,1,0.5,127,63.5,1,0.5,0.0,0.0,0.002857142857142857,0.0,1,1,2
org.apache.velocity.runtime.log.SimpleLog4JLogSystem,4,4,12,0.3333333333333333,1,0.25,126,31.5,8,0.6666666666666666,0.0,0.0,0.0,0.0,0,3,3
org.apache.velocity.runtime.parser.node.SimpleNode,12,25,132,0.1893939393939394,1,0.08333333333333333,124,10.333333333333334,107,0.8106060606060606,0.2863636363636364,0.023863636363636365,0.2974256854256854,0.029467404537647613,61,11,72
org.apache.velocity.util.ExceptionUtils,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.18989430617115582,0.0,8,0,8
org.apache.velocity.runtime.parser.node.ASTExpression,6,13,30,0.43333333333333335,1,0.16666666666666666,124,20.666666666666668,17,0.5666666666666667,0.15000000000000002,0.025000000000000005,0.18923613661402863,1.8607413883583506e-05,5,5,10
org.apache.velocity.runtime.parser.node.ASTLENode,10,19,90,0.2111111111111111,1,0.1,124,12.4,71,0.7888888888888889,0.1736111111111111,0.017361111111111112,0.18899321474417752,0.00040127348454971503,4,9,13
org.apache.velocity.context.InternalEventContext,2,2,2,1.0,1,0.5,124,62.0,0,0.0,0.0,0.0,0.18380238986980563,0.0,3,1,4
org.apache.velocity.runtime.resource.loader.DataSourceResourceLoader,7,11,42,0.2619047619047619,1,0.14285714285714285,126,18.0,31,0.7380952380952381,0.0,0.0,0.002857142857142857,3.1655068904352575e-05,1,6,7
org.apache.velocity.io.VelocityWriter,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.005142857142857143,0.0,1,0,1
org.apache.velocity.runtime.resource.loader.ResourceLoaderFactory,6,8,30,0.26666666666666666,1,0.16666666666666666,127,21.166666666666668,22,0.7333333333333333,0.0,0.0,0.002857142857142857,0.0,1,5,6
org.apache.velocity.runtime.parser.node.ASTprocess,4,9,12,0.75,1,0.25,124,31.0,3,0.25,0.16666666666666666,0.041666666666666664,0.18899321474417752,1.4607855861612239e-05,4,3,7
org.apache.velocity.runtime.resource.loader.FileResourceLoader,7,11,42,0.2619047619047619,1,0.14285714285714285,128,18.285714285714285,31,0.7380952380952381,0.0,0.0,0.002857142857142857,3.220084595442762e-05,1,6,7
org.apache.velocity.runtime.resource.ResourceCache,3,3,6,0.5,1,0.3333333333333333,124,41.333333333333336,3,0.5,0.0,0.0,0.12724780837140387,0.0,2,2,4
org.apache.velocity.app.event.implement.EscapeJavaScriptReference,2,1,2,0.5,1,0.5,127,63.5,1,0.5,0.0,0.0,0.002857142857142857,0.0,1,1,2
org.apache.velocity.runtime.parser.node.ASTDirective,15,45,210,0.21428571428571427,1,0.06666666666666667,124,8.266666666666667,165,0.7857142857142857,0.09951159951159952,0.006634106634106634,0.19021410114433368,0.001105885012189948,5,14,19
org.apache.velocity.app.event.EventHandlerUtil,21,55,420,0.13095238095238096,1,0.047619047619047616,124,5.904761904761905,365,0.8690476190476191,0.0,0.0,0.14992435263311027,0.0194269713094928,6,20,26
org.apache.velocity.context.AbstractContext,3,2,6,0.3333333333333333,1,0.3333333333333333,124,41.333333333333336,4,0.6666666666666666,0.0,0.0,0.16542215088282503,0.004881437949264394,25,2,27
org.apache.velocity.runtime.parser.TokenMgrError,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.1884672057502246,0.0,2,0,2
org.apache.velocity.runtime.parser.node.MapGetExecutor,3,3,6,0.5,1,0.3333333333333333,126,42.0,3,0.5,0.0,0.0,0.005714285714285714,0.0,1,2,3
org.apache.velocity.anakia.NodeList,3,3,6,0.5,1,0.3333333333333333,1,0.3333333333333333,3,0.5,0.0,0.0,0.010285714285714285,5.730659025787966e-05,4,3,7
org.apache.velocity.runtime.log.Log4JLogChute,6,8,30,0.26666666666666666,1,0.16666666666666666,125,20.833333333333332,22,0.7333333333333333,0.0,0.0,0.005714285714285714,0.0007946513849092646,2,5,7
org.apache.velocity.util.TemplateNumber,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.15242261299229762,0.0,12,0,12
org.apache.velocity.runtime.parser.node.ASTGENode,10,19,90,0.2111111111111111,1,0.1,124,12.4,71,0.7888888888888889,0.1736111111111111,0.017361111111111112,0.18899321474417752,0.00040127348454971503,4,9,13
org.apache.velocity.runtime.parser.node.ASTNENode,10,19,90,0.2111111111111111,1,0.1,124,12.4,71,0.7888888888888889,0.1736111111111111,0.017361111111111112,0.18899321474417752,0.00040127348454971503,4,9,13
org.apache.velocity.runtime.parser.Parser,60,208,3540,0.05875706214689266,1,0.016666666666666666,124,2.066666666666667,3332,0.9412429378531073,0.7025618546658874,0.011709364244431456,0.2601161029782938,0.10885036824444226,48,59,107
org.apache.velocity.runtime.log.SystemLogChute,3,3,6,0.5,1,0.3333333333333333,125,41.666666666666664,3,0.5,0.0,0.0,0.053930968360498564,0.0,1,2,3
org.apache.velocity.app.VelocityEngine,13,35,156,0.22435897435897437,1,0.07692307692307693,145,11.153846153846153,121,0.7756410256410257,0.0,0.0,0.06095238095238095,0.013795864223867403,21,12,33
org.apache.velocity.util.introspection.Uberspect,5,4,20,0.2,1,0.2,3,0.6,16,0.8,0.0,0.0,0.24150522648083625,0.004832099132958732,9,4,13
org.apache.velocity.util.ClassUtils,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.08426065162907269,0.0,8,0,8
org.apache.velocity.runtime.log.VelocityFormatter,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.0038095238095238095,0.0,1,0,1
org.apache.velocity.util.introspection.VelPropertySet,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.1903830096206208,0.0,5,0,5
org.apache.velocity.anakia.OutputWrapper,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.0038095238095238095,0.0,1,0,1
org.apache.velocity.runtime.parser.node.ASTSetDirective,18,67,306,0.21895424836601307,1,0.05555555555555555,124,6.888888888888889,239,0.7810457516339869,0.08149509803921569,0.004527505446623094,0.18899321474417752,0.00560038438545747,4,17,21
org.apache.velocity.app.event.implement.EscapeHtmlReference,2,1,2,0.5,1,0.5,127,63.5,1,0.5,0.0,0.0,0.002857142857142857,0.0,1,1,2
org.apache.velocity.runtime.parser.node.ASTAndNode,8,17,56,0.30357142857142855,1,0.125,124,15.5,39,0.6964285714285714,0.15476190476190477,0.019345238095238096,0.18899321474417752,7.97611859600531e-05,4,7,11
org.apache.velocity.runtime.parser.JJTParserState,2,2,2,1.0,1,0.5,124,62.0,0,0.0,0.0,0.0,0.18659786347999274,3.976375650546752e-06,1,1,2
org.apache.velocity.runtime.parser.ParserVisitor,42,125,1722,0.07259001161440186,1,0.023809523809523808,124,2.9523809523809526,1597,0.9274099883855982,0.9734756097560976,0.023177990708478514,0.22105963105963106,0.023488518989324386,46,41,87
org.apache.velocity.context.Context,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.25279789335088876,0.0,44,0,44
org.apache.velocity.runtime.parser.node.ASTVariable,4,7,12,0.5833333333333334,1,0.25,125,31.25,5,0.4166666666666667,0.0,0.0,0.0,0.0,0,3,3
org.apache.velocity.exception.VelocityException,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.23790096406660824,0.0011826371427271962,10,1,11
org.apache.velocity.runtime.resource.ResourceCacheImpl,6,10,30,0.3333333333333333,1,0.16666666666666666,124,20.666666666666668,20,0.6666666666666666,0.0,0.0,0.15762924441725298,0.0018501841997544005,2,5,7
org.apache.velocity.runtime.resource.loader.StringResourceLoader,10,22,90,0.24444444444444444,1,0.1,130,13.0,68,0.7555555555555555,0.08333333333333333,0.008333333333333333,0.005714285714285714,0.001101787419838996,2,9,11
org.apache.velocity.exception.TemplateInitException,4,3,12,0.25,1,0.25,4,1.0,9,0.75,0.0,0.0,0.23243460764587526,0.0006114156260448241,19,3,22
org.apache.velocity.runtime.parser.node.ASTMulNode,10,19,90,0.2111111111111111,1,0.1,124,12.4,71,0.7888888888888889,0.1736111111111111,0.017361111111111112,0.18899321474417752,0.00040127348454971503,4,9,13
org.apache.velocity.util.introspection.Introspector,6,9,30,0.3,1,0.16666666666666666,124,20.666666666666668,21,0.7,0.0,0.0,0.24415541340914476,0.01985552501803013,12,5,17
org.apache.velocity.texen.Generator,6,11,30,0.36666666666666664,1,0.16666666666666666,146,24.333333333333332,19,0.6333333333333333,0.0,0.0,0.005714285714285714,0.0012327739118570065,3,6,9
org.apache.velocity.util.ArrayIterator,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.005714285714285714,0.0,1,0,1
org.apache.velocity.anakia.AnakiaJDOMFactory,2,1,2,0.5,1,0.5,3,1.5,1,0.5,0.0,0.0,0.0038095238095238095,1.637331150225133e-05,1,1,2
org.apache.velocity.context.InternalHousekeepingContext,3,2,6,0.3333333333333333,1,0.3333333333333333,124,41.333333333333336,4,0.6666666666666666,0.0,0.0,0.17823936354202696,0.0012728738532215703,31,2,33
org.apache.velocity.app.tools.VelocityFormatter,4,4,12,0.3333333333333333,1,0.25,2,0.5,8,0.6666666666666666,0.0,0.0,0.0,0.0,0,3,3
org.apache.velocity.anakia.AnakiaTask,15,25,210,0.11904761904761904,1,0.06666666666666667,156,10.4,185,0.8809523809523809,0.07142857142857144,0.004761904761904762,0.002857142857142857,0.0012771182971756038,1,14,15
org.apache.velocity.runtime.parser.node.ASTStringLiteral,15,40,210,0.19047619047619047,1,0.06666666666666667,124,8.266666666666667,170,0.8095238095238095,0.09065934065934067,0.006043956043956045,0.18899321474417752,0.00046799896292628506,4,14,18
org.apache.velocity.context.InternalContextAdapter,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.23086506713625354,0.0,56,0,56
org.apache.velocity.runtime.parser.node.ASTWord,4,9,12,0.75,1,0.25,124,31.0,3,0.25,0.16666666666666666,0.041666666666666664,0.18899321474417752,1.4607855861612239e-05,4,3,7
