name,Size,Ties,Pairs,Density,WeakComp,nWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree
org.apache.xalan.xsltc.runtime.output.SAXXMLOutput,6,11,30,0.36666666666666664,1,0.16666666666666666,643,107.16666666666667,19,0.6333333333333333,0.0,0.0,0.14544763509364825,0.00037589011154815486,1,5,6
org.apache.xpath.operations.Operation,9,29,72,0.4027777777777778,1,0.1111111111111111,643,71.44444444444444,43,0.5972222222222222,0.14880952380952378,0.01653439153439153,0.24041509848862877,0.003786737577362056,17,8,25
org.apache.xalan.xsltc.runtime.BasisLibrary,16,43,240,0.17916666666666667,1,0.0625,643,40.1875,197,0.8208333333333333,0.1142857142857143,0.0071428571428571435,0.15844999057972065,0.017123944396202254,24,15,39
org.apache.xpath.objects.XString,15,61,210,0.2904761904761905,1,0.06666666666666667,643,42.86666666666667,149,0.7095238095238096,0.4253663003663004,0.02835775335775336,0.3990914640412834,0.08490632856457594,35,14,49
org.apache.xalan.xsltc.StripFilter,2,2,2,1.0,1,0.5,643,321.5,0,0.0,0.0,0.0,0.18611878986605138,6.333667750990586e-07,5,1,6
org.apache.xalan.serialize.Serializer,2,1,2,0.5,1,0.5,643,321.5,1,0.5,0.0,0.0,0.17588123266769873,0.0004438202520304506,11,1,12
org.apache.xalan.templates.ElemExsltFunction,18,99,306,0.3235294117647059,1,0.05555555555555555,643,35.72222222222222,207,0.6764705882352942,0.0,0.0,0.15936606907390166,0.000260906579806862,5,17,22
org.apache.xalan.xsltc.runtime.output.SAXHTMLOutput,4,6,12,0.5,1,0.25,643,160.75,6,0.5,0.0,0.0,0.14544763509364825,0.00035482614222771895,1,3,4
org.apache.xml.dtm.ref.CoroutineParser,2,1,2,0.5,1,0.5,644,322.0,1,0.5,0.0,0.0,0.0,0.0,0,1,1
org.apache.xalan.xsltc.runtime.StringValueHandler,4,6,12,0.5,1,0.25,643,160.75,6,0.5,0.0,0.0,0.14568620420533818,0.0010665896492668147,1,3,4
org.apache.xml.utils.CharKey,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.1301409518060689,0.0,1,0,1
org.apache.xalan.xsltc.compiler.util.Type,20,157,380,0.4131578947368421,1,0.05,643,32.15,223,0.5868421052631579,0.2873781676413255,0.014368908382066276,0.2859013599694888,0.011983011729439923,112,20,132
org.apache.xalan.transformer.StackGuard,9,29,72,0.4027777777777778,1,0.1111111111111111,643,71.44444444444444,43,0.5972222222222222,0.01845238095238095,0.00205026455026455,0.17453716211237788,0.0004973044181063694,3,8,11
org.apache.xalan.serialize.WriterToUTF8Buffered,4,6,12,0.5,1,0.25,643,160.75,6,0.5,0.0,0.0,0.1504007906819738,1.3843588084307994e-06,1,3,4
org.apache.xpath.functions.FuncCeiling,6,13,30,0.43333333333333335,1,0.16666666666666666,644,107.33333333333333,17,0.5666666666666667,0.0,0.0,0.0,0.0,0,5,5
org.apache.xalan.xsltc.compiler.Number,21,119,420,0.2833333333333333,1,0.047619047619047616,643,30.61904761904762,301,0.7166666666666667,0.0,0.0,0.22787348987305892,0.009853558009467512,1,20,21
org.apache.xalan.xsltc.runtime.TextOutput,9,20,72,0.2777777777777778,1,0.1111111111111111,643,71.44444444444444,52,0.7222222222222222,0.08928571428571427,0.00992063492063492,0.14584568554546445,0.00032490267056534513,6,8,14
org.apache.xalan.processor.ProcessorUnknown,4,6,12,0.5,1,0.25,643,160.75,6,0.5,0.0,0.0,0.15908063730839614,2.613713505320306e-05,1,3,4
org.apache.xml.dtm.ref.ChunkedIntArray,4,4,12,0.3333333333333333,1,0.25,645,161.25,8,0.6666666666666666,0.0,0.0,0.0011248593925759281,2.364569293703152e-06,1,3,4
org.apache.xalan.xsltc.compiler.BinOpExpr,12,52,132,0.3939393939393939,1,0.08333333333333333,644,53.666666666666664,80,0.6060606060606061,0.0,0.0,0.0,0.0,0,11,11
org.apache.xalan.serialize.SerializerToText,4,7,12,0.5833333333333334,1,0.25,643,160.75,5,0.4166666666666667,0.0,0.0,0.14978081365461696,8.703946476986476e-05,1,3,4
org.apache.xml.utils.PrefixResolver,2,1,2,0.5,1,0.5,643,321.5,1,0.5,0.0,0.0,0.2791131991880903,4.692181004890829e-06,33,1,34
org.apache.xalan.extensions.ExtensionHandlerJavaPackage,13,49,156,0.3141025641025641,1,0.07692307692307693,648,49.84615384615385,107,0.6858974358974359,0.0,0.0,0.0,0.0,0,12,12
org.apache.xml.utils.XMLStringFactory,4,7,12,0.5833333333333334,1,0.25,643,160.75,5,0.4166666666666667,0.0,0.0,0.3168371789435952,0.000262696117326722,14,3,17
org.apache.xalan.templates.ElemComment,9,31,72,0.4305555555555556,1,0.1111111111111111,643,71.44444444444444,41,0.5694444444444444,0.0,0.0,0.1591123014479878,1.5191623746403124e-05,1,8,9
org.apache.xpath.res.XPATHErrorResources,2,1,2,0.5,1,0.5,643,321.5,1,0.5,0.0,0.0,0.33629793961913784,7.90889918029114e-06,32,1,33
org.apache.xpath.axes.MatchPatternIterator,12,41,132,0.3106060606060606,1,0.08333333333333333,643,53.583333333333336,91,0.6893939393939394,0.02121212121212121,0.0017676767676767676,0.17202070206040254,6.852590205703618e-05,1,11,12
org.apache.xalan.xsltc.compiler.Constants,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.2405517382977983,0.0,11,0,11
org.apache.xalan.xsltc.runtime.output.TransletOutputHandlerFactory,15,38,210,0.18095238095238095,1,0.06666666666666667,643,42.86666666666667,172,0.819047619047619,0.0,0.0,0.17154081598169327,0.016007305659078853,4,15,19
org.apache.xalan.serialize.Method,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.21703083430930828,0.0,8,0,8
org.apache.xml.utils.TreeWalker,8,16,56,0.2857142857142857,1,0.125,643,80.375,40,0.7142857142857143,0.09523809523809523,0.011904761904761904,0.1819253988335664,0.008436338980932686,7,7,14
org.apache.xalan.lib.sql.SQLErrorDocument,4,6,12,0.5,1,0.25,648,162.0,6,0.5,0.0,0.0,0.0011248593925759281,1.8050953090323174e-05,1,3,4
org.apache.xalan.xsltc.compiler.ProcessingInstruction,11,43,110,0.39090909090909093,1,0.09090909090909091,643,58.45454545454545,67,0.6090909090909091,0.0,0.0,0.16939610139323813,0.0043613538976093776,3,10,13
org.apache.xml.utils.StringToIntTable,2,1,2,0.5,1,0.5,643,321.5,1,0.5,0.0,0.0,0.14115843236353356,0.0,2,1,3
org.apache.xpath.operations.Equals,6,15,30,0.5,1,0.16666666666666666,643,107.16666666666667,15,0.5,0.0,0.0,0.1830921215013034,3.547223674065759e-05,1,5,6
org.apache.xalan.xsltc.compiler.LastCall,9,22,72,0.3055555555555556,1,0.1111111111111111,643,71.44444444444444,50,0.6944444444444444,0.04464285714285714,0.00496031746031746,0.15223389877636462,0.0005091569511739645,1,8,9
org.apache.xml.dtm.ref.CoroutineManager,3,3,6,0.5,1,0.3333333333333333,643,214.33333333333334,3,0.5,0.0,0.0,0.1590173468220988,0.0008157764063275875,3,2,5
org.apache.xpath.functions.FuncStringLength,7,19,42,0.4523809523809524,1,0.14285714285714285,645,92.14285714285714,23,0.5476190476190477,0.0,0.0,0.0,0.0,0,6,6
org.apache.xalan.xsltc.dom.NodeSortRecord,4,7,12,0.5833333333333334,1,0.25,644,161.0,5,0.4166666666666667,0.0,0.0,0.0022497187851518562,0.0002492720504531528,3,4,7
org.apache.xalan.xsltc.runtime.HashtableEntry,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.20380048916113347,0.0,2,0,2
org.apache.xalan.templates.TemplateSubPatternAssociation,11,35,110,0.3181818181818182,1,0.09090909090909091,643,58.45454545454545,75,0.6818181818181818,0.0,0.0,0.15832446077930099,0.00011282493054677687,3,11,14
org.apache.xalan.templates.AVTPartXPath,13,41,156,0.26282051282051283,1,0.07692307692307693,643,49.46153846153846,115,0.7371794871794872,0.0,0.0,0.14811565730492693,6.703730072207573e-05,1,12,13
org.apache.xpath.operations.UnaryOperation,8,24,56,0.42857142857142855,1,0.125,643,80.375,32,0.5714285714285714,0.04365079365079365,0.005456349206349206,0.3867344956336191,0.07641665532197252,6,7,13
org.apache.xalan.xslt.StylesheetRoot,18,69,306,0.22549019607843138,1,0.05555555555555555,643,35.72222222222222,237,0.7745098039215687,0.504595588235294,0.028033088235294115,0.2185293063080073,0.032747809343876666,37,17,54
org.apache.xalan.processor.ProcessorGlobalParamDecl,6,12,30,0.4,1,0.16666666666666666,643,107.16666666666667,18,0.6,0.0,0.0,0.15908063730839614,2.6423688252097865e-05,1,5,6
org.apache.xalan.xsltc.compiler.util.NamedMethodGenerator,4,8,12,0.6666666666666666,1,0.25,643,160.75,4,0.3333333333333333,0.0,0.0,0.15546094952833345,9.020347470688238e-07,1,3,4
