name,Size,Ties,Pairs,Density,WeakComp,nWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree
org.apache.html.dom.HTMLOptGroupElementImpl,4,5,12,0.4166666666666667,1,0.25,94,23.5,7,0.5833333333333334,0.0,0.0,0.0,0.0,0,3,3
org.apache.wml.WMLPElement,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.019562419562419563,0.0,1,0,1
org.w3c.dom.html.HTMLTitleElement,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.043236409608091025,0.0,2,0,2
org.w3c.dom.html.HTMLLegendElement,2,1,2,0.5,1,0.5,15,7.5,1,0.5,0.0,0.0,0.0015037593984962407,1.1323489446507835e-06,1,1,2
org.w3c.dom.events.EventListener,2,1,2,0.5,1,0.5,1,0.5,1,0.5,0.0,0.0,0.10517206774636798,4.529395778603134e-06,6,1,7
org.apache.html.dom.HTMLModElementImpl,4,5,12,0.4166666666666667,1,0.25,94,23.5,7,0.5833333333333334,0.0,0.0,0.0,0.0,0,3,3
org.apache.xerces.dom.CoreDOMImplementationImpl,10,36,90,0.4,1,0.1,43,4.3,54,0.6,0.0,0.0,0.08995713583022978,0.0,1,9,10
org.apache.wml.WMLBigElement,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.019562419562419563,0.0,1,0,1
org.apache.wml.dom.WMLTrElementImpl,4,6,12,0.5,1,0.25,138,34.5,6,0.5,0.3333333333333333,0.08333333333333333,0.02820063858275827,8.379382190415798e-05,1,3,4
org.apache.html.dom.HTMLHtmlElementImpl,4,7,12,0.5833333333333334,1,0.25,92,23.0,5,0.4166666666666667,0.0,0.0,0.042105263157894736,0.0,1,3,4
org.xml.sax.ext.LexicalHandler,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.03413923622152243,0.0,4,0,4
org.w3c.dom.traversal.NodeIterator,3,4,6,0.6666666666666666,1,0.3333333333333333,14,4.666666666666667,2,0.3333333333333333,0.0,0.0,0.08684872975390018,1.1323489446507835e-06,4,2,6
org.apache.xerces.dom.EntityImpl,5,12,20,0.6,1,0.2,43,8.6,8,0.4,0.0,0.0,0.0994360902255639,0.00010841432324356502,5,4,9
org.w3c.dom.events.EventException,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.0851507890605635,0.0,1,0,1
org.apache.xerces.dom.DeferredEntityReferenceImpl,8,18,56,0.32142857142857145,1,0.125,361,45.125,38,0.6785714285714286,0.11904761904761904,0.01488095238095238,0.034371643394199784,3.5313519154899705e-05,1,7,8
org.w3c.dom.html.HTMLParagraphElement,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.0015037593984962407,0.0,1,0,1
org.apache.wml.WMLMetaElement,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.019562419562419563,0.0,1,0,1
org.apache.xerces.dom.AttrImpl,13,48,156,0.3076923076923077,1,0.07692307692307693,43,3.3076923076923075,108,0.6923076923076923,0.030303030303030304,0.002331002331002331,0.11297433725157965,0.0008682272461260596,10,12,22
org.apache.wml.WMLStrongElement,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.019562419562419563,0.0,1,0,1
org.apache.wml.dom.WMLNoopElementImpl,4,6,12,0.5,1,0.25,138,34.5,6,0.5,0.3333333333333333,0.08333333333333333,0.02820063858275827,8.379382190415798e-05,1,3,4
org.xml.sax.XMLFilter,2,1,2,0.5,1,0.5,9,4.5,1,0.5,0.0,0.0,0.0015037593984962407,0.0,1,1,2
org.w3c.dom.events.Event,2,2,2,1.0,1,0.5,1,0.5,0,0.0,0.0,0.0,0.1056057669948066,0.00010665289155188598,8,1,9
javax.xml.parsers.FactoryFinder,2,1,2,0.5,1,0.5,0,0.0,1,0.5,0.0,0.0,0.0061403508771929825,0.0,2,1,3
org.xml.sax.ext.DeclHandler,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.034185874522371505,0.0,5,0,5
org.apache.wml.dom.WMLOptionElementImpl,4,6,12,0.5,1,0.25,138,34.5,6,0.5,0.3333333333333333,0.08333333333333333,0.02820063858275827,8.379382190415798e-05,1,3,4
org.w3c.dom.DocumentType,2,1,2,0.5,1,0.5,12,6.0,1,0.5,0.0,0.0,0.17213055135025415,5.305324412580503e-05,20,1,21
org.apache.html.dom.HTMLTableElementImpl,13,51,156,0.3269230769230769,1,0.07692307692307693,99,7.615384615384615,105,0.6730769230769231,0.022727272727272728,0.0017482517482517483,0.0020050125313283208,6.7940936679047005e-06,1,12,13
org.apache.wml.WMLSmallElement,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.019562419562419563,0.0,1,0,1
org.apache.xerces.dom.AttrNSImpl,4,9,12,0.75,1,0.25,43,10.75,3,0.25,0.0,0.0,0.0902946860584858,5.248167751564798e-05,3,3,6
org.apache.html.dom.HTMLBuilder,12,28,132,0.21212121212121213,1,0.08333333333333333,96,8.0,104,0.7878787878787878,0.0,0.0,0.0,0.0,0,11,11
org.apache.wml.dom.WMLRefreshElementImpl,4,6,12,0.5,1,0.25,138,34.5,6,0.5,0.3333333333333333,0.08333333333333333,0.02820063858275827,8.379382190415798e-05,1,3,4
org.apache.xerces.dom.DeferredElementNSImpl,7,11,42,0.2619047619047619,1,0.14285714285714285,361,51.57142857142857,31,0.7380952380952381,0.05,0.0071428571428571435,0.034371643394199784,1.4891287311796413e-05,1,6,7
org.w3c.dom.html.HTMLMenuElement,1,0,0,0,1,1.0,-1,-1.0,0,0,0.0,0.0,0.0015037593984962407,0.0,1,0,1
